date,likes_count
2020-07-18,357
2020-07-19,2328
2020-07-20,494
2020-07-21,512
2020-07-22,878
2020-07-23,1530
2020-07-24,1489
2020-07-25,489
2020-07-26,791
2020-07-27,1138
2020-07-28,589
2020-07-29,555
2020-07-30,147
2020-07-31,744
2020-08-01,349
2020-08-02,1088
2020-08-03,264
2020-08-04,1244
2020-08-05,301
2020-08-06,4166
2020-08-07,1099
2020-08-08,1462
2020-08-09,1454
2020-08-10,93
2020-08-11,4678
2020-08-12,512
2020-08-13,437
2020-08-14,0
2020-08-15,0
2020-08-16,505
2020-08-17,306
2020-08-18,581
2020-08-19,195
2020-08-20,884
2020-08-21,758
2020-08-22,372
2020-08-23,482
2020-08-24,626
2020-08-25,375
2020-08-26,426
2020-08-27,132
2020-08-28,267
2020-08-29,89
2020-08-30,380
2020-08-31,361
2020-09-01,457
2020-09-02,1047
2020-09-03,355
2020-09-04,547
2020-09-05,377
2020-09-06,714
2020-09-07,1286
2020-09-08,275
2020-09-09,843
2020-09-10,405
2020-09-11,902
2020-09-12,393
2020-09-13,3239
2020-09-14,1178
2020-09-15,417
2020-09-16,1933
2020-09-17,1235
2020-09-18,777
2020-09-19,1757
2020-09-20,1278
2020-09-21,252
2020-09-22,676
2020-09-23,1072
2020-09-24,381
2020-09-25,366
2020-09-26,1264
2020-09-27,1689
2020-09-28,142
2020-09-29,1192
2020-09-30,946
2020-10-01,460
2020-10-02,873
2020-10-03,820
2020-10-04,1267
2020-10-05,387
2020-10-06,248
2020-10-07,481
2020-10-08,831
2020-10-09,141
2020-10-10,263
2020-10-11,253
2020-10-12,292
2020-10-13,1965
2020-10-14,1392
2020-10-15,340
