date,retweets_count
2020-07-18,202
2020-07-19,692
2020-07-20,446
2020-07-21,666
2020-07-22,733
2020-07-23,1004
2020-07-24,2867
2020-07-25,3086
2020-07-26,781
2020-07-27,871
2020-07-28,537
2020-07-29,2781
2020-07-30,555
2020-07-31,976
2020-08-01,165
2020-08-02,383
2020-08-03,167
2020-08-04,1335
2020-08-05,642
2020-08-06,3682
2020-08-07,5324
2020-08-08,3255
2020-08-09,2721
2020-08-10,1675
2020-08-11,1504
2020-08-12,160
2020-08-13,101
2020-08-14,206
2020-08-15,25
2020-08-16,36
2020-08-17,109
2020-08-18,348
2020-08-19,79
2020-08-20,221
2020-08-21,276
2020-08-22,131
2020-08-23,239
2020-08-24,275
2020-08-25,903
2020-08-26,567
2020-08-27,249
2020-08-28,503
2020-08-29,159
2020-08-30,94
2020-08-31,171
2020-09-01,611
2020-09-02,345
2020-09-03,138
2020-09-04,210
2020-09-05,239
2020-09-06,740
2020-09-07,419
2020-09-08,150
2020-09-09,363
2020-09-10,346
2020-09-11,295
2020-09-12,144
2020-09-13,1156
2020-09-14,480
2020-09-15,455
2020-09-16,830
2020-09-17,1222
2020-09-18,2077
2020-09-19,657
2020-09-20,434
2020-09-21,326
2020-09-22,450
2020-09-23,538
2020-09-24,265
2020-09-25,443
2020-09-26,464
2020-09-27,373
2020-09-28,224
2020-09-29,2181
2020-09-30,1071
2020-10-01,512
2020-10-02,1684
2020-10-03,829
2020-10-04,370
2020-10-05,429
2020-10-06,358
2020-10-07,600
2020-10-08,668
2020-10-09,683
2020-10-10,629
2020-10-11,189
2020-10-12,775
2020-10-13,1158
2020-10-14,1100
2020-10-15,704
