date,number_of_retweets
2020-07-18,6
2020-07-19,11
2020-07-20,12
2020-07-21,22
2020-07-22,25
2020-07-23,21
2020-07-24,34
2020-07-25,11
2020-07-26,11
2020-07-27,19
2020-07-28,21
2020-07-29,19
2020-07-30,22
2020-07-31,14
2020-08-01,6
2020-08-02,1
2020-08-03,9
2020-08-04,4
2020-08-05,6
2020-08-06,15
2020-08-07,18
2020-08-08,10
2020-08-09,8
2020-08-10,8
2020-08-11,8
2020-08-12,5
2020-08-13,3
2020-08-14,4
2020-08-15,1
2020-08-17,2
2020-08-18,8
2020-08-19,6
2020-08-20,4
2020-08-21,9
2020-08-22,5
2020-08-23,8
2020-08-24,19
2020-08-25,23
2020-08-26,15
2020-08-27,18
2020-08-28,14
2020-08-29,5
2020-08-30,5
2020-08-31,10
2020-09-01,27
2020-09-02,15
2020-09-03,10
2020-09-04,11
2020-09-05,9
2020-09-06,9
2020-09-07,28
2020-09-08,12
2020-09-09,19
2020-09-10,22
2020-09-11,7
2020-09-12,8
2020-09-13,16
2020-09-14,20
2020-09-15,29
2020-09-16,24
2020-09-17,43
2020-09-18,36
2020-09-19,27
2020-09-20,19
2020-09-21,16
2020-09-22,25
2020-09-23,19
2020-09-24,18
2020-09-25,23
2020-09-26,13
2020-09-27,7
2020-09-28,16
2020-09-29,29
2020-09-30,28
2020-10-01,20
2020-10-02,33
2020-10-03,36
2020-10-04,13
2020-10-05,19
2020-10-06,20
2020-10-07,39
2020-10-08,24
2020-10-09,16
2020-10-10,14
2020-10-11,9
2020-10-12,15
2020-10-13,43
2020-10-14,28
2020-10-15,29
