date,number_of_tweets
2020-07-18,7
2020-07-19,14
2020-07-20,13
2020-07-21,16
2020-07-22,23
2020-07-23,42
2020-07-24,22
2020-07-25,16
2020-07-26,22
2020-07-27,19
2020-07-28,23
2020-07-29,13
2020-07-30,7
2020-07-31,5
2020-08-01,8
2020-08-02,25
2020-08-03,7
2020-08-04,16
2020-08-05,8
2020-08-06,28
2020-08-07,11
2020-08-08,22
2020-08-09,14
2020-08-10,4
2020-08-11,40
2020-08-12,17
2020-08-13,13
2020-08-16,7
2020-08-17,7
2020-08-18,8
2020-08-19,8
2020-08-20,5
2020-08-21,30
2020-08-22,13
2020-08-23,11
2020-08-24,18
2020-08-25,10
2020-08-26,16
2020-08-27,8
2020-08-28,10
2020-08-29,6
2020-08-30,13
2020-08-31,13
2020-09-01,11
2020-09-02,21
2020-09-03,11
2020-09-04,18
2020-09-05,12
2020-09-06,22
2020-09-07,23
2020-09-08,12
2020-09-09,20
2020-09-10,16
2020-09-11,32
2020-09-12,8
2020-09-13,128
2020-09-14,30
2020-09-15,25
2020-09-16,48
2020-09-17,73
2020-09-18,14
2020-09-19,47
2020-09-20,37
2020-09-21,16
2020-09-22,22
2020-09-23,38
2020-09-24,14
2020-09-25,7
2020-09-26,51
2020-09-27,42
2020-09-28,9
2020-09-29,32
2020-09-30,33
2020-10-01,17
2020-10-02,20
2020-10-03,35
2020-10-04,22
2020-10-05,21
2020-10-06,12
2020-10-07,15
2020-10-08,33
2020-10-09,10
2020-10-10,7
2020-10-11,9
2020-10-12,13
2020-10-13,63
2020-10-14,43
2020-10-15,18
