date,likes_count
2020-06-01,1379
2020-06-02,4744
2020-06-03,2433
2020-06-04,554
2020-06-05,2636
2020-06-06,590
2020-06-07,632
2020-06-08,3975
2020-06-09,1110
2020-06-10,1969
2020-06-11,6849
2020-06-12,4361
2020-06-13,9898
2020-06-14,38060
2020-06-15,4546
2020-06-16,9194
2020-06-17,16184
2020-06-18,2599
2020-06-19,558
2020-06-20,2390
2020-06-21,0
2020-06-22,964
2020-06-23,3683
2020-06-24,7526
2020-06-25,2316
2020-06-26,3917
2020-06-28,0
2020-06-29,7121
2020-06-30,2864
2020-07-01,628
2020-07-02,0
2020-07-06,1224
2020-07-07,1660
2020-07-08,0
2020-07-10,288
2020-07-11,0
2020-07-12,25476
2020-07-13,898
2020-07-14,1046
2020-07-15,6696
2020-07-16,1060
2020-07-17,400
2020-07-18,0
2020-07-19,1033
2020-07-20,2147
2020-07-21,560
2020-07-22,19039
2020-07-23,2531
2020-07-24,2472
2020-07-25,4628
2020-07-26,0
2020-07-27,879
2020-07-28,664
2020-07-29,7662
2020-07-30,3904
2020-07-31,9232
2020-08-01,2397
2020-08-02,5021
2020-08-03,964
2020-08-04,8334
2020-08-05,2343
2020-08-06,39202
2020-08-07,30664
2020-08-08,7290
2020-08-09,3549
2020-08-10,2546
2020-08-11,2059
2020-08-12,1702
2020-08-13,2616
2020-08-14,662
2020-08-16,2138
2020-08-17,707
2020-08-18,16729
2020-08-19,7260
2020-08-20,1147
2020-08-21,18377
2020-08-22,2109
2020-08-24,1741
2020-08-25,1430
2020-08-26,2632
2020-08-27,2656
2020-08-28,1946
2020-08-29,3551
2020-08-30,504
2020-08-31,669
2020-09-01,11076
2020-09-02,3962
2020-09-03,4902
2020-09-04,1263
2020-09-05,0
2020-09-06,0
2020-09-07,242
2020-09-08,9211
2020-09-09,268
2020-09-10,6281
2020-09-11,561
2020-09-12,0
2020-09-13,1264
2020-09-14,832
2020-09-15,373
2020-09-16,3426
2020-09-17,5286
2020-09-18,5640
2020-09-19,6151
2020-09-20,1850
2020-09-21,4597
2020-09-22,1579
2020-09-23,2027
2020-09-24,1920
2020-09-25,859
2020-09-26,1117
2020-09-27,941
2020-09-28,1918
2020-09-29,4497
2020-09-30,8774
2020-10-01,3330
2020-10-02,11436
2020-10-05,681
2020-10-06,431
2020-10-07,402
2020-10-08,5325
2020-10-09,3332
2020-10-12,2879
2020-10-13,8359
2020-10-14,1073
2020-10-15,3879
2020-10-16,0
