date,retweets_count
2020-06-01,1450
2020-06-02,686645
2020-06-03,2481
2020-06-04,1730
2020-06-05,3016
2020-06-06,402
2020-06-07,308
2020-06-08,964
2020-06-09,1796
2020-06-10,1413
2020-06-11,68084
2020-06-12,10517
2020-06-13,18170
2020-06-14,22846
2020-06-15,2387
2020-06-16,4861
2020-06-17,13290
2020-06-18,3477
2020-06-19,2230
2020-06-20,5357
2020-06-21,860
2020-06-22,706
2020-06-23,5494
2020-06-24,12718
2020-06-25,3900
2020-06-26,12672
2020-06-28,8898
2020-06-29,1270
2020-06-30,360
2020-07-01,56
2020-07-02,82
2020-07-06,870
2020-07-07,206
2020-07-08,106
2020-07-10,40
2020-07-11,18
2020-07-12,4564
2020-07-13,2000
2020-07-14,554
2020-07-15,1530
2020-07-16,528
2020-07-17,236
2020-07-18,1562
2020-07-19,665
2020-07-20,230
2020-07-21,124
2020-07-22,2368
2020-07-23,626
2020-07-24,13882
2020-07-25,892
2020-07-26,5260
2020-07-27,870
2020-07-28,220
2020-07-29,1348
2020-07-30,5010
2020-07-31,1254
2020-08-01,1438
2020-08-02,2496
2020-08-03,1194
2020-08-04,1550
2020-08-05,3332
2020-08-06,104375
2020-08-07,14330
2020-08-08,45769
2020-08-09,12512
2020-08-10,13498
2020-08-11,4017
2020-08-12,454
2020-08-13,1810
2020-08-14,312
2020-08-16,228
2020-08-17,456
2020-08-18,5670
2020-08-19,5367
2020-08-20,2780
2020-08-21,2591
2020-08-22,1913
2020-08-24,972
2020-08-25,1588
2020-08-26,654
2020-08-27,204
2020-08-28,92
2020-08-29,683
2020-08-30,1278
2020-08-31,237
2020-09-01,3996
2020-09-02,560
2020-09-03,40271
2020-09-04,122
2020-09-05,316
2020-09-06,28
2020-09-07,154
2020-09-08,2048
2020-09-09,532
2020-09-10,685
2020-09-11,280
2020-09-12,238
2020-09-13,1790
2020-09-14,1150
2020-09-15,2232
2020-09-16,822
2020-09-17,1796
2020-09-18,3938
2020-09-19,1468
2020-09-20,414
2020-09-21,870
2020-09-22,456
2020-09-23,1074
2020-09-24,666
2020-09-25,512
2020-09-26,330
2020-09-27,3839
2020-09-28,690
2020-09-29,1520
2020-09-30,4614
2020-10-01,8299
2020-10-02,4242
2020-10-05,288
2020-10-06,228
2020-10-07,300
2020-10-08,861
2020-10-09,627
2020-10-12,2076
2020-10-13,4329
2020-10-14,6690
2020-10-15,7763
2020-10-16,481
