date,number_of_retweets
2020-06-01,12
2020-06-02,26
2020-06-03,24
2020-06-04,62
2020-06-05,38
2020-06-06,6
2020-06-07,12
2020-06-08,12
2020-06-09,16
2020-06-10,22
2020-06-11,108
2020-06-12,37
2020-06-13,46
2020-06-14,113
2020-06-15,51
2020-06-16,24
2020-06-17,139
2020-06-18,66
2020-06-19,42
2020-06-20,30
2020-06-21,4
2020-06-22,24
2020-06-23,42
2020-06-24,50
2020-06-25,34
2020-06-26,94
2020-06-28,12
2020-06-29,6
2020-06-30,6
2020-07-02,4
2020-07-06,4
2020-07-08,2
2020-07-11,2
2020-07-13,6
2020-07-14,6
2020-07-15,18
2020-07-16,6
2020-07-17,6
2020-07-18,4
2020-07-19,11
2020-07-20,2
2020-07-21,2
2020-07-22,26
2020-07-23,14
2020-07-24,32
2020-07-25,10
2020-07-26,10
2020-07-27,8
2020-07-28,6
2020-07-29,8
2020-07-30,14
2020-07-31,6
2020-08-01,20
2020-08-02,18
2020-08-03,16
2020-08-04,22
2020-08-05,40
2020-08-06,42
2020-08-07,52
2020-08-08,103
2020-08-09,28
2020-08-10,46
2020-08-11,14
2020-08-12,4
2020-08-13,8
2020-08-14,2
2020-08-17,10
2020-08-18,25
2020-08-19,16
2020-08-20,20
2020-08-21,16
2020-08-22,13
2020-08-24,10
2020-08-25,12
2020-08-26,22
2020-08-27,12
2020-08-29,4
2020-08-30,10
2020-08-31,2
2020-09-01,18
2020-09-03,10
2020-09-05,18
2020-09-06,6
2020-09-07,4
2020-09-08,16
2020-09-09,22
2020-09-10,10
2020-09-11,22
2020-09-12,4
2020-09-13,104
2020-09-14,20
2020-09-15,6
2020-09-16,12
2020-09-17,32
2020-09-18,22
2020-09-19,60
2020-09-20,20
2020-09-21,12
2020-09-22,6
2020-09-23,28
2020-09-24,14
2020-09-25,12
2020-09-26,14
2020-09-27,24
2020-09-28,12
2020-09-29,16
2020-09-30,4
2020-10-01,27
2020-10-02,24
2020-10-05,6
2020-10-06,6
2020-10-07,9
2020-10-08,15
2020-10-09,9
2020-10-12,30
2020-10-13,75
2020-10-14,21
2020-10-15,59
2020-10-16,18
