date,number_of_tweets
2020-06-01,8
2020-06-02,14
2020-06-03,4
2020-06-04,4
2020-06-05,20
2020-06-06,4
2020-06-07,8
2020-06-08,60
2020-06-09,6
2020-06-10,14
2020-06-11,24
2020-06-12,14
2020-06-13,20
2020-06-14,96
2020-06-15,32
2020-06-16,20
2020-06-17,36
2020-06-18,14
2020-06-19,6
2020-06-20,36
2020-06-22,2
2020-06-23,18
2020-06-24,24
2020-06-25,18
2020-06-26,18
2020-06-29,20
2020-06-30,8
2020-07-01,4
2020-07-06,6
2020-07-07,8
2020-07-10,2
2020-07-12,16
2020-07-13,6
2020-07-14,4
2020-07-15,158
2020-07-16,12
2020-07-17,4
2020-07-19,4
2020-07-20,12
2020-07-21,4
2020-07-22,54
2020-07-23,48
2020-07-24,66
2020-07-25,10
2020-07-27,8
2020-07-28,4
2020-07-29,20
2020-07-30,8
2020-07-31,8
2020-08-01,4
2020-08-02,10
2020-08-03,2
2020-08-04,18
2020-08-05,4
2020-08-06,24
2020-08-07,18
2020-08-08,14
2020-08-09,6
2020-08-10,4
2020-08-11,2
2020-08-12,4
2020-08-13,14
2020-08-14,2
2020-08-16,6
2020-08-17,2
2020-08-18,16
2020-08-19,12
2020-08-20,4
2020-08-21,12
2020-08-22,4
2020-08-24,4
2020-08-25,6
2020-08-26,10
2020-08-27,12
2020-08-28,6
2020-08-29,2
2020-08-30,4
2020-08-31,2
2020-09-01,18
2020-09-02,8
2020-09-03,6
2020-09-04,6
2020-09-07,4
2020-09-08,4
2020-09-09,4
2020-09-10,14
2020-09-11,4
2020-09-13,14
2020-09-14,18
2020-09-15,14
2020-09-16,12
2020-09-17,16
2020-09-18,16
2020-09-19,10
2020-09-20,8
2020-09-21,18
2020-09-22,10
2020-09-23,10
2020-09-24,12
2020-09-25,4
2020-09-26,6
2020-09-27,4
2020-09-28,18
2020-09-29,22
2020-09-30,18
2020-10-01,6
2020-10-02,24
2020-10-05,3
2020-10-06,3
2020-10-07,3
2020-10-08,33
2020-10-09,45
2020-10-12,18
2020-10-13,55
2020-10-14,5
2020-10-15,15
