date,retweets_count
2020-01-01,6
2020-01-02,3
2020-01-04,7
2020-01-06,2
2020-01-08,0
2020-01-09,0
2020-01-10,3
2020-01-11,16
2020-01-12,0
2020-01-13,8
2020-01-14,8
2020-01-15,1
2020-01-16,3
2020-01-17,2
2020-01-18,43
2020-01-20,69
2020-01-21,1
2020-01-22,31
2020-01-23,18
2020-01-24,0
2020-01-25,39
2020-01-26,1
2020-01-27,260
2020-01-28,0
2020-01-29,122
2020-01-30,26
2020-02-01,69
2020-02-02,7
2020-02-03,57
2020-02-04,131
2020-02-05,25
2020-02-06,17
2020-02-08,44
2020-02-09,1
2020-02-10,1
2020-02-11,33
2020-02-12,36
2020-02-13,74
2020-02-15,50
2020-02-16,51
2020-02-17,3
2020-02-18,55
2020-02-19,0
2020-02-20,122
2020-02-21,29
2020-02-22,46
2020-02-23,7
2020-02-24,36
2020-02-25,1
2020-02-26,35
2020-02-28,3
2020-02-29,34
2020-03-01,67
2020-03-02,42
2020-03-03,3
2020-03-04,2
2020-03-05,4
2020-03-06,51
2020-03-07,5
2020-03-08,75
2020-03-10,35
2020-03-11,69
2020-03-12,4
2020-03-13,1
2020-03-14,23
2020-03-15,25
2020-03-16,0
2020-03-18,2
2020-03-19,63
2020-03-20,56
2020-03-23,0
2020-03-28,38
2020-03-29,2
2020-03-30,23
2020-03-31,1
2020-04-05,59
2020-04-09,34
2020-04-10,21
2020-04-15,0
2020-04-16,11
2020-04-17,76
2020-04-21,52
2020-04-22,22
2020-04-23,1
2020-04-24,13
2020-04-26,10
2020-04-27,47
2020-04-29,0
2020-05-01,46
2020-05-02,21
2020-05-03,44
2020-05-04,1
2020-05-05,21
2020-05-07,3
2020-05-09,6
2020-05-12,52
2020-05-15,9
2020-05-16,15
2020-05-17,27
2020-05-18,0
2020-05-22,2
2020-05-23,3
2020-05-24,0
2020-05-25,1
2020-05-26,4
2020-05-31,0
2020-06-01,2100
2020-06-02,1945
2020-06-03,878
2020-06-04,2764
2020-06-05,2179
2020-06-06,3267
2020-06-07,1645
2020-06-08,583
2020-06-09,345
2020-06-10,2886
2020-06-11,965
2020-06-12,974
2020-06-13,5110
2020-06-14,1103
2020-06-15,1057
2020-06-16,3817
2020-06-17,1225
2020-06-18,923
2020-06-19,31
2020-06-20,50
2020-06-22,681
2020-06-23,483
2020-06-24,101
2020-06-25,945
2020-06-28,252
2020-06-30,1623
2020-07-01,1388
2020-07-02,2215
2020-07-03,773
2020-07-05,39
2020-07-06,14
2020-07-07,8
2020-07-08,78
2020-07-09,2368
2020-07-10,1138
2020-07-12,6984
2020-07-13,10281
2020-07-14,1550
2020-07-15,2666
2020-07-16,1686
2020-07-17,240
2020-07-18,144
2020-07-20,1637
2020-07-21,1047
2020-07-22,625
2020-07-24,1578
2020-07-26,213
2020-07-27,0
2020-07-28,163
2020-07-29,588
2020-07-30,741
2020-07-31,154
2020-08-01,1204
2020-08-02,611
2020-08-03,87
2020-08-04,1416
2020-08-05,464
2020-08-06,314
2020-08-07,393
2020-08-09,1744
2020-08-10,144
2020-08-11,333
2020-08-12,548
2020-08-13,480
2020-08-14,208
2020-08-15,193
2020-08-17,256
2020-08-19,1950
2020-08-20,132
2020-08-21,342
2020-08-22,185
2020-08-24,354
2020-08-25,329
2020-08-26,543
2020-08-27,825
2020-08-28,313
2020-08-30,679
2020-08-31,824
2020-09-02,1347
2020-09-03,191
2020-09-04,494
2020-09-07,241
2020-09-08,59
2020-09-09,280
2020-09-10,1143
2020-09-12,554
2020-09-13,237
2020-09-14,227
2020-09-15,758
2020-09-16,431
2020-09-17,483
2020-09-18,1198
2020-09-19,730
2020-09-20,289
2020-09-21,1008
2020-09-22,194
2020-09-23,63
2020-09-24,18
2020-09-25,182
2020-09-27,49
2020-09-28,1872
2020-09-29,379
2020-09-30,1146
2020-10-01,1508
2020-10-02,410
2020-10-04,540
2020-10-05,578
2020-10-06,315
2020-10-07,265
2020-10-08,102
2020-10-09,911
2020-10-10,27
2020-10-11,6908
2020-10-12,9
2020-10-13,3164
2020-10-14,458
