date,number_of_retweets
2020-06-01,19
2020-06-02,16
2020-06-03,8
2020-06-04,29
2020-06-05,26
2020-06-06,26
2020-06-07,15
2020-06-08,9
2020-06-09,3
2020-06-10,20
2020-06-11,5
2020-06-12,13
2020-06-13,11
2020-06-14,12
2020-06-15,9
2020-06-16,21
2020-06-17,10
2020-06-18,9
2020-06-19,2
2020-06-20,1
2020-06-22,8
2020-06-23,6
2020-06-24,3
2020-06-25,13
2020-06-28,9
2020-06-30,10
2020-07-01,13
2020-07-02,18
2020-07-03,8
2020-07-05,2
2020-07-06,1
2020-07-08,2
2020-07-09,5
2020-07-10,1
2020-07-12,25
2020-07-13,25
2020-07-14,8
2020-07-15,13
2020-07-16,11
2020-07-17,4
2020-07-18,4
2020-07-20,8
2020-07-21,8
2020-07-22,12
2020-07-24,12
2020-07-26,7
2020-07-28,4
2020-07-29,7
2020-07-30,12
2020-07-31,6
2020-08-01,18
2020-08-02,10
2020-08-03,1
2020-08-04,17
2020-08-05,4
2020-08-06,9
2020-08-07,6
2020-08-09,8
2020-08-10,4
2020-08-11,5
2020-08-12,4
2020-08-13,4
2020-08-14,4
2020-08-15,7
2020-08-17,4
2020-08-19,16
2020-08-20,5
2020-08-21,8
2020-08-22,1
2020-08-24,5
2020-08-25,4
2020-08-26,7
2020-08-27,6
2020-08-28,2
2020-08-30,11
2020-08-31,9
2020-09-02,14
2020-09-03,9
2020-09-04,12
2020-09-07,4
2020-09-08,3
2020-09-09,7
2020-09-10,10
2020-09-12,8
2020-09-13,8
2020-09-14,9
2020-09-15,6
2020-09-16,15
2020-09-17,8
2020-09-18,12
2020-09-19,14
2020-09-20,5
2020-09-21,17
2020-09-22,5
2020-09-23,3
2020-09-24,2
2020-09-25,8
2020-09-27,3
2020-09-28,12
2020-09-29,8
2020-09-30,21
2020-10-01,7
2020-10-02,8
2020-10-04,12
2020-10-05,13
2020-10-06,13
2020-10-07,8
2020-10-08,6
2020-10-09,18
2020-10-10,1
2020-10-11,12
2020-10-12,2
2020-10-13,3
2020-10-14,9
