date,likes_count
2020-01-01,45
2020-01-02,110
2020-01-03,285
2020-01-04,93
2020-01-05,211
2020-01-06,63
2020-01-07,217
2020-01-08,334
2020-01-09,51
2020-01-10,27
2020-01-11,126
2020-01-12,68
2020-01-13,97
2020-01-14,466
2020-01-15,49
2020-01-16,251
2020-01-17,266
2020-01-18,626
2020-01-19,555
2020-01-20,61
2020-01-21,67
2020-01-23,226
2020-01-24,40
2020-01-26,225
2020-01-27,206
2020-01-28,37
2020-01-29,289
2020-01-30,226
2020-01-31,160
2020-02-02,20
2020-02-03,112
2020-02-04,353
2020-02-05,110
2020-02-06,90
2020-02-07,58
2020-02-08,215
2020-02-10,230
2020-02-11,88
2020-02-12,89
2020-02-13,385
2020-02-14,93
2020-02-15,154
2020-02-16,318
2020-02-17,528
2020-02-18,104
2020-02-19,282
2020-02-20,596
2020-02-21,462
2020-02-22,116
2020-02-23,215
2020-02-24,412
2020-02-25,236
2020-02-26,99
2020-02-27,141
2020-02-29,41
2020-03-01,216
2020-03-02,137
2020-03-03,84
2020-03-04,245
2020-03-05,48
2020-03-06,54
2020-03-08,109
2020-03-09,55
2020-03-10,70
2020-03-11,167
2020-03-12,695
2020-03-13,123
2020-03-15,29
2020-03-16,353
2020-03-17,187
2020-03-18,70
2020-03-22,40
2020-03-23,159
2020-03-24,61
2020-03-25,175
2020-03-26,252
2020-03-27,67
2020-03-28,90
2020-03-30,202
2020-03-31,206
2020-04-01,145
2020-04-02,198
2020-04-03,187
2020-04-04,377
2020-04-06,208
2020-04-07,191
2020-04-08,224
2020-04-09,288
2020-04-10,284
2020-04-11,182
2020-04-12,65
2020-04-13,35
2020-04-14,457
2020-04-15,111
2020-04-16,284
2020-04-17,185
2020-04-18,241
2020-04-19,222
2020-04-20,393
2020-04-21,163
2020-04-22,249
2020-04-23,178
2020-04-24,405
2020-04-25,164
2020-04-26,43
2020-04-27,372
2020-04-28,283
2020-04-29,221
2020-04-30,51
2020-05-01,201
2020-05-02,20
2020-05-03,104
2020-05-04,175
2020-05-05,359
2020-05-06,132
2020-05-07,198
2020-05-08,158
2020-05-09,311
2020-05-10,165
2020-05-11,218
2020-05-12,313
2020-05-13,234
2020-05-14,221
2020-05-15,175
2020-05-16,147
2020-05-17,131
2020-05-18,199
2020-05-19,222
2020-05-20,336
2020-05-21,158
2020-05-22,174
2020-05-23,51
2020-05-24,1917
2020-05-25,508
2020-05-26,145
2020-05-27,250
2020-05-28,317
2020-05-29,299
2020-05-30,281
2020-06-01,620
2020-06-02,502
2020-06-03,334
2020-06-04,598
2020-06-05,558
2020-06-06,84
2020-06-07,0
2020-06-08,408
2020-06-09,354
2020-06-10,1376
2020-06-11,16
2020-06-12,844
2020-06-13,210
2020-06-14,522
2020-06-15,720
2020-06-16,224
2020-06-17,376
2020-06-18,312
2020-06-19,368
2020-06-20,0
2020-06-21,0
2020-06-22,448
2020-06-23,212
2020-06-24,350
2020-06-25,480
2020-06-26,212
2020-06-27,94
2020-06-28,144
2020-06-29,338
2020-06-30,378
2020-07-01,684
2020-07-02,174
2020-07-03,288
2020-07-04,206
2020-07-05,0
2020-07-06,462
2020-07-07,636
2020-07-08,428
2020-07-09,298
2020-07-10,0
2020-07-11,140
2020-07-12,274
2020-07-13,242
2020-07-14,441
2020-07-15,144
2020-07-16,601
2020-07-17,184
2020-07-18,0
2020-07-19,0
2020-07-20,622
2020-07-21,536
2020-07-22,344
2020-07-23,138
2020-07-24,810
2020-07-26,0
2020-07-27,416
2020-07-28,348
2020-07-29,298
2020-07-30,438
2020-07-31,112
2020-08-01,46
2020-08-02,0
2020-08-03,268
2020-08-04,136
2020-08-05,774
2020-08-06,116
2020-08-07,448
2020-08-08,528
2020-08-09,0
2020-08-10,252
2020-08-11,326
2020-08-12,200
2020-08-13,128
2020-08-14,694
2020-08-15,322
2020-08-16,639
2020-08-17,718
2020-08-18,182
2020-08-19,592
2020-08-20,118
2020-08-21,308
2020-08-22,108
2020-08-23,186
2020-08-24,468
2020-08-25,260
2020-08-26,0
2020-08-27,0
2020-08-28,196
2020-08-29,275
2020-08-30,0
2020-08-31,500
2020-09-01,628
2020-09-02,310
2020-09-03,412
2020-09-04,308
2020-09-05,0
2020-09-06,106
2020-09-07,306
2020-09-08,220
2020-09-09,468
2020-09-10,192
2020-09-11,278
2020-09-12,36
2020-09-13,186
2020-09-14,214
2020-09-15,718
2020-09-16,348
2020-09-17,790
2020-09-18,545
2020-09-19,348
2020-09-20,136
2020-09-21,384
2020-09-22,366
2020-09-23,234
2020-09-24,236
2020-09-25,348
2020-09-27,316
2020-09-28,304
2020-09-29,641
2020-09-30,690
2020-10-01,164
2020-10-02,230
2020-10-03,12
2020-10-04,108
2020-10-05,258
2020-10-06,256
2020-10-07,390
2020-10-08,1918
2020-10-09,360
2020-10-10,768
2020-10-11,396
2020-10-12,260
2020-10-13,510
2020-10-14,527
2020-10-15,190
