date,retweets_count
2020-01-01,8
2020-01-02,39
2020-01-03,117
2020-01-04,36
2020-01-05,130
2020-01-06,24
2020-01-07,81
2020-01-08,127
2020-01-09,21
2020-01-10,9
2020-01-11,42
2020-01-12,15
2020-01-13,24
2020-01-14,200
2020-01-15,4
2020-01-16,118
2020-01-17,141
2020-01-18,217
2020-01-19,220
2020-01-20,22
2020-01-21,15
2020-01-23,45
2020-01-24,1
2020-01-26,56
2020-01-27,92
2020-01-28,13
2020-01-29,87
2020-01-30,60
2020-01-31,60
2020-02-02,8
2020-02-03,39
2020-02-04,112
2020-02-05,41
2020-02-06,36
2020-02-07,13
2020-02-08,77
2020-02-10,62
2020-02-11,34
2020-02-12,40
2020-02-13,68
2020-02-14,26
2020-02-15,57
2020-02-16,87
2020-02-17,216
2020-02-18,38
2020-02-19,91
2020-02-20,141
2020-02-21,164
2020-02-22,26
2020-02-23,67
2020-02-24,150
2020-02-25,74
2020-02-26,30
2020-02-27,74
2020-02-29,0
2020-03-01,69
2020-03-02,64
2020-03-03,35
2020-03-04,73
2020-03-05,27
2020-03-06,28
2020-03-08,38
2020-03-09,24
2020-03-10,29
2020-03-11,66
2020-03-12,251
2020-03-13,51
2020-03-15,11
2020-03-16,90
2020-03-17,81
2020-03-18,37
2020-03-22,23
2020-03-23,93
2020-03-24,23
2020-03-25,72
2020-03-26,86
2020-03-27,27
2020-03-28,6
2020-03-30,73
2020-03-31,91
2020-04-01,87
2020-04-02,100
2020-04-03,67
2020-04-04,159
2020-04-06,85
2020-04-07,58
2020-04-08,102
2020-04-09,139
2020-04-10,89
2020-04-11,57
2020-04-12,23
2020-04-13,1
2020-04-14,147
2020-04-15,34
2020-04-16,94
2020-04-17,84
2020-04-18,83
2020-04-19,71
2020-04-20,154
2020-04-21,67
2020-04-22,120
2020-04-23,86
2020-04-24,152
2020-04-25,84
2020-04-26,15
2020-04-27,159
2020-04-28,120
2020-04-29,95
2020-04-30,20
2020-05-01,63
2020-05-02,8
2020-05-03,40
2020-05-04,62
2020-05-05,116
2020-05-06,40
2020-05-07,79
2020-05-08,49
2020-05-09,115
2020-05-10,58
2020-05-11,118
2020-05-12,95
2020-05-13,87
2020-05-14,68
2020-05-15,66
2020-05-16,63
2020-05-17,46
2020-05-18,101
2020-05-19,61
2020-05-20,119
2020-05-21,76
2020-05-22,90
2020-05-23,22
2020-05-24,308
2020-05-25,196
2020-05-26,58
2020-05-27,113
2020-05-28,139
2020-05-29,101
2020-05-30,80
2020-06-01,281
2020-06-02,279
2020-06-03,330
2020-06-04,442
2020-06-05,228
2020-06-06,123
2020-06-07,156
2020-06-08,354
2020-06-09,265
2020-06-10,480
2020-06-11,830
2020-06-12,805
2020-06-13,248
2020-06-14,540
2020-06-15,219
2020-06-16,127
2020-06-17,374
2020-06-18,286
2020-06-19,191
2020-06-20,97
2020-06-21,10
2020-06-22,186
2020-06-23,93
2020-06-24,210
2020-06-25,160
2020-06-26,401
2020-06-27,100
2020-06-28,132
2020-06-29,547
2020-06-30,213
2020-07-01,983
2020-07-02,147
2020-07-03,181
2020-07-04,332
2020-07-05,138
2020-07-06,290
2020-07-07,504
2020-07-08,404
2020-07-09,420
2020-07-10,346
2020-07-11,56
2020-07-12,147
2020-07-13,98
2020-07-14,444
2020-07-15,180
2020-07-16,417
2020-07-17,90
2020-07-18,11
2020-07-19,47
2020-07-20,368
2020-07-21,299
2020-07-22,480
2020-07-23,116
2020-07-24,502
2020-07-26,16
2020-07-27,166
2020-07-28,134
2020-07-29,124
2020-07-30,194
2020-07-31,83
2020-08-01,23
2020-08-02,21
2020-08-03,106
2020-08-04,82
2020-08-05,479
2020-08-06,103
2020-08-07,2922
2020-08-08,2068
2020-08-09,534
2020-08-10,658
2020-08-11,281
2020-08-12,223
2020-08-13,128
2020-08-14,722
2020-08-15,205
2020-08-16,631
2020-08-17,306
2020-08-18,190
2020-08-19,266
2020-08-20,169
2020-08-21,108
2020-08-22,48
2020-08-23,82
2020-08-24,222
2020-08-25,300
2020-08-26,16
2020-08-27,61
2020-08-28,249
2020-08-29,427
2020-08-30,246
2020-08-31,601
2020-09-01,343
2020-09-02,1183
2020-09-03,167
2020-09-04,266
2020-09-05,29
2020-09-06,173
2020-09-07,167
2020-09-08,180
2020-09-09,290
2020-09-10,250
2020-09-11,382
2020-09-12,107
2020-09-13,89
2020-09-14,2816
2020-09-15,545
2020-09-16,308
2020-09-17,568
2020-09-18,211
2020-09-19,130
2020-09-20,745
2020-09-21,261
2020-09-22,333
2020-09-23,239
2020-09-24,162
2020-09-25,341
2020-09-27,183
2020-09-28,200
2020-09-29,272
2020-09-30,659
2020-10-01,122
2020-10-02,126
2020-10-03,308
2020-10-04,195
2020-10-05,293
2020-10-06,196
2020-10-07,432
2020-10-08,594
2020-10-09,160
2020-10-10,254
2020-10-11,136
2020-10-12,237
2020-10-13,251
2020-10-14,356
2020-10-15,72
