date,number_of_retweets
2020-06-01,7
2020-06-02,10
2020-06-03,5
2020-06-04,9
2020-06-05,4
2020-06-06,6
2020-06-07,5
2020-06-08,10
2020-06-09,13
2020-06-10,5
2020-06-11,6
2020-06-12,14
2020-06-13,4
2020-06-14,12
2020-06-15,2
2020-06-16,2
2020-06-17,13
2020-06-18,2
2020-06-19,1
2020-06-20,3
2020-06-21,1
2020-06-22,1
2020-06-23,2
2020-06-24,6
2020-06-26,15
2020-06-27,5
2020-06-28,3
2020-06-29,2
2020-06-30,2
2020-07-01,2
2020-07-02,6
2020-07-03,4
2020-07-04,8
2020-07-05,8
2020-07-06,8
2020-07-07,6
2020-07-08,7
2020-07-09,8
2020-07-10,15
2020-07-12,6
2020-07-13,2
2020-07-14,13
2020-07-15,7
2020-07-16,7
2020-07-17,2
2020-07-18,1
2020-07-19,2
2020-07-20,7
2020-07-21,3
2020-07-22,14
2020-07-23,5
2020-07-24,9
2020-07-26,1
2020-07-27,1
2020-07-28,1
2020-07-29,2
2020-07-30,3
2020-07-31,3
2020-08-01,1
2020-08-02,1
2020-08-03,1
2020-08-04,1
2020-08-05,7
2020-08-06,4
2020-08-07,26
2020-08-08,17
2020-08-09,5
2020-08-10,20
2020-08-11,2
2020-08-12,5
2020-08-13,2
2020-08-14,13
2020-08-15,2
2020-08-16,6
2020-08-17,5
2020-08-18,6
2020-08-19,3
2020-08-20,9
2020-08-21,3
2020-08-23,1
2020-08-24,6
2020-08-25,4
2020-08-26,2
2020-08-27,7
2020-08-28,31
2020-08-29,27
2020-08-30,17
2020-08-31,9
2020-09-01,12
2020-09-02,10
2020-09-03,2
2020-09-04,10
2020-09-05,2
2020-09-06,5
2020-09-07,4
2020-09-08,4
2020-09-09,10
2020-09-10,8
2020-09-11,9
2020-09-12,4
2020-09-13,3
2020-09-14,7
2020-09-15,15
2020-09-16,17
2020-09-17,10
2020-09-18,5
2020-09-19,2
2020-09-20,2
2020-09-21,6
2020-09-22,6
2020-09-23,2
2020-09-24,4
2020-09-25,12
2020-09-27,4
2020-09-28,3
2020-09-29,11
2020-09-30,26
2020-10-01,9
2020-10-02,5
2020-10-03,18
2020-10-04,9
2020-10-05,18
2020-10-06,8
2020-10-07,9
2020-10-08,17
2020-10-09,5
2020-10-10,7
2020-10-11,2
2020-10-12,9
2020-10-13,6
2020-10-14,10
2020-10-15,2
