date,likes_count
2020-01-05,55
2020-01-06,21
2020-01-09,27
2020-01-13,23
2020-01-24,29
2020-01-27,5
2020-02-04,130
2020-02-14,62
2020-02-27,30
2020-02-29,9
2020-03-01,14
2020-03-03,87
2020-04-02,56
2020-04-03,16
2020-04-04,127
2020-04-07,113
2020-04-10,14
2020-04-14,168
2020-04-16,65
2020-04-19,15
2020-04-22,13
2020-04-23,33
2020-04-27,28
2020-05-01,27
2020-05-03,42
2020-05-05,12
2020-05-17,52
2020-05-19,4
2020-05-26,12
2020-06-05,28
2020-06-07,52
2020-06-10,328
2020-06-12,145
2020-07-05,686
2020-07-10,8
2020-07-18,40
2020-07-20,170
2020-07-21,116
2020-07-22,126
2020-07-24,466
2020-07-27,215
2020-07-28,32
2020-07-29,10
2020-07-30,140
2020-08-04,76
2020-08-05,539
2020-08-14,31
2020-09-01,18
2020-09-02,26
2020-09-09,282
2020-09-14,104
2020-09-16,93
2020-09-17,10
2020-09-18,14
2020-09-23,136
2020-09-30,136
2020-10-02,88
2020-10-03,68
2020-10-04,82
2020-10-08,18
2020-10-13,898
2020-10-14,33
