date,retweets_count
2020-01-05,18
2020-01-06,6
2020-01-09,15
2020-01-13,10
2020-01-24,11
2020-01-27,3
2020-02-04,45
2020-02-14,22
2020-02-27,11
2020-02-29,2
2020-03-01,0
2020-03-03,16
2020-04-02,18
2020-04-03,7
2020-04-04,32
2020-04-07,42
2020-04-10,5
2020-04-14,50
2020-04-16,16
2020-04-19,7
2020-04-22,13
2020-04-23,15
2020-04-27,15
2020-05-01,5
2020-05-03,11
2020-05-05,8
2020-05-17,8
2020-05-19,1
2020-05-26,6
2020-06-05,14
2020-06-07,4
2020-06-10,96
2020-06-12,26
2020-07-05,268
2020-07-10,4
2020-07-18,12
2020-07-20,58
2020-07-21,44
2020-07-22,215
2020-07-24,245
2020-07-27,94
2020-07-28,10
2020-07-29,4
2020-07-30,38
2020-08-04,14
2020-08-05,104
2020-08-14,16
2020-09-01,6
2020-09-02,10
2020-09-09,44
2020-09-14,38
2020-09-16,30
2020-09-17,6
2020-09-18,2
2020-09-23,64
2020-09-30,42
2020-10-02,20
2020-10-03,14
2020-10-04,48
2020-10-08,9
2020-10-13,600
2020-10-14,6
