date,number_of_tweets
2020-01-05,1
2020-01-06,1
2020-01-09,1
2020-01-13,1
2020-01-24,1
2020-01-27,1
2020-02-04,2
2020-02-14,1
2020-02-27,1
2020-02-29,1
2020-03-01,1
2020-03-03,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-07,2
2020-04-10,2
2020-04-14,2
2020-04-16,1
2020-04-19,1
2020-04-22,1
2020-04-23,1
2020-04-27,1
2020-05-01,2
2020-05-03,1
2020-05-05,1
2020-05-17,1
2020-05-19,1
2020-05-26,2
2020-06-05,2
2020-06-07,2
2020-06-10,2
2020-06-12,2
2020-07-05,2
2020-07-10,2
2020-07-18,2
2020-07-20,2
2020-07-21,2
2020-07-22,2
2020-07-24,4
2020-07-27,4
2020-07-28,2
2020-07-29,2
2020-07-30,2
2020-08-04,2
2020-08-05,4
2020-08-14,2
2020-09-01,2
2020-09-02,2
2020-09-09,2
2020-09-14,6
2020-09-16,2
2020-09-17,4
2020-09-18,2
2020-09-23,2
2020-09-30,2
2020-10-02,2
2020-10-03,2
2020-10-04,2
2020-10-08,1
2020-10-13,3
2020-10-14,3
