date,likes_count
2020-01-01,530
2020-01-02,470
2020-01-03,596
2020-01-05,266
2020-01-06,264
2020-01-07,1766
2020-01-08,986
2020-01-09,376
2020-01-10,190
2020-01-11,490
2020-01-12,1800
2020-01-13,364
2020-01-14,702
2020-01-15,2038
2020-01-16,3164
2020-01-17,3090
2020-01-18,1564
2020-01-19,2956
2020-01-20,944
2020-01-21,748
2020-01-22,2194
2020-01-23,1576
2020-01-24,874
2020-01-25,3034
2020-01-26,4734
2020-01-27,2750
2020-01-28,2384
2020-01-29,4628
2020-01-30,2192
2020-01-31,1818
2020-02-01,774
2020-02-03,896
2020-02-04,4776
2020-02-05,2158
2020-02-06,2016
2020-02-07,1198
2020-02-08,11144
2020-02-09,664
2020-02-10,720
2020-02-11,674
2020-02-12,4582
2020-02-13,5408
2020-02-14,3000
2020-02-15,506
2020-02-16,78
2020-02-17,5642
2020-02-18,1174
2020-02-19,3022
2020-02-20,1016
2020-02-21,1500
2020-02-22,1364
2020-02-24,970
2020-02-25,2238
2020-02-26,798
2020-02-27,2658
2020-02-28,548
2020-02-29,22
2020-03-01,36
2020-03-02,3282
2020-03-03,878
2020-03-04,32
2020-03-05,1332
2020-03-06,910
2020-03-07,1292
2020-03-08,614
2020-03-09,818
2020-03-10,3276
2020-03-11,416
2020-03-12,780
2020-03-13,1078
2020-03-14,1610
2020-03-15,1014
2020-03-16,1766
2020-03-17,790
2020-03-18,3238
2020-03-19,3784
2020-03-20,2192
2020-03-22,114
2020-03-23,4086
2020-03-24,2406
2020-03-25,4406
2020-03-26,4640
2020-03-27,6450
2020-03-28,3804
2020-03-29,704
2020-03-30,2766
2020-03-31,5054
2020-04-01,1102
2020-04-02,2478
2020-04-03,3966
2020-04-04,80
2020-04-05,452
2020-04-06,8648
2020-04-07,1290
2020-04-08,3592
2020-04-09,694
2020-04-10,1164
2020-04-11,780
2020-04-12,856
2020-04-13,240
2020-04-14,956
2020-04-15,3644
2020-04-16,1454
2020-04-17,1818
2020-04-18,472
2020-04-19,886
2020-04-20,4770
2020-04-21,2746
2020-04-22,2284
2020-04-23,3698
2020-04-24,7404
2020-04-25,358
2020-04-26,1648
2020-04-27,1780
2020-04-28,2578
2020-04-29,162
2020-04-30,1544
2020-05-01,624
2020-05-02,420
2020-05-03,2886
2020-05-04,2760
2020-05-05,3762
2020-05-06,1011
2020-05-07,6468
2020-05-08,9813
2020-05-09,792
2020-05-10,3771
2020-05-11,2892
2020-05-12,5190
2020-05-13,237
2020-05-14,3546
2020-05-15,14937
2020-05-16,3924
2020-05-17,20994
2020-05-18,16863
2020-05-19,9436
2020-05-20,5742
2020-05-21,4071
2020-05-22,2736
2020-05-23,4023
2020-05-24,1014
2020-05-25,5919
2020-05-26,4551
2020-05-27,7164
2020-05-28,19122
2020-05-29,57
2020-05-30,3749
2020-05-31,2613
2020-06-01,4809
2020-06-02,1077
2020-06-03,774
2020-06-04,12237
2020-06-05,3108
2020-06-06,4320
2020-06-07,426
2020-06-08,1218
2020-06-09,1428
2020-06-10,21444
2020-06-11,3048
2020-06-12,5328
2020-06-13,162
2020-06-14,2058
2020-06-15,7062
2020-06-16,2748
2020-06-17,7830
2020-06-18,6234
2020-06-19,5298
2020-06-20,1458
2020-06-21,2298
2020-06-22,6372
2020-06-23,6912
2020-06-24,2244
2020-06-25,7260
2020-06-26,3714
2020-06-28,0
2020-06-29,10080
2020-06-30,5412
2020-07-01,4560
2020-07-02,13854
2020-07-03,3564
2020-07-04,252
2020-07-05,186
2020-07-06,3390
2020-07-07,2952
2020-07-08,828
2020-07-09,8526
2020-07-10,18006
2020-07-11,0
2020-07-12,3600
2020-07-13,0
2020-07-14,26137
2020-07-15,13950
2020-07-16,15228
2020-07-17,24630
2020-07-18,0
2020-07-19,258
2020-07-20,198
2020-07-21,7044
2020-07-22,13062
2020-07-23,8874
2020-07-24,4872
2020-07-25,4056
2020-07-26,1998
2020-07-27,2664
2020-07-28,5658
2020-07-29,3198
2020-07-30,5394
2020-07-31,2910
2020-08-01,1128
2020-08-02,0
2020-08-03,780
2020-08-04,3114
2020-08-05,3348
2020-08-06,3828
2020-08-07,4710
2020-08-08,2274
2020-08-09,1128
2020-08-10,4494
2020-08-11,60
2020-08-12,2196
2020-08-13,1098
2020-08-14,2070
2020-08-15,1182
2020-08-16,0
2020-08-17,7135
2020-08-18,2382
2020-08-19,4890
2020-08-20,684
2020-08-21,1392
2020-08-22,0
2020-08-23,0
2020-08-24,1974
2020-08-25,528
2020-08-26,606
2020-08-27,1272
2020-08-28,1434
2020-08-29,24
2020-08-30,2634
2020-08-31,1506
2020-09-01,1020
2020-09-02,3276
2020-09-03,618
2020-09-04,2340
2020-09-05,384
2020-09-06,30
2020-09-07,2580
2020-09-08,2094
2020-09-09,828
2020-09-10,5670
2020-09-11,3288
2020-09-12,18
2020-09-13,1140
2020-09-14,1200
2020-09-15,5784
2020-09-16,5322
2020-09-17,4764
2020-09-18,7860
2020-09-19,576
2020-09-20,174
2020-09-21,3360
2020-09-22,4608
2020-09-23,3204
2020-09-24,2172
2020-09-25,4836
2020-09-26,28548
2020-09-27,540
2020-09-28,18
2020-09-29,1248
2020-09-30,1752
2020-10-01,1484
2020-10-02,2079
2020-10-03,2037
2020-10-04,1029
2020-10-05,2814
2020-10-06,784
2020-10-07,4433
2020-10-08,3843
2020-10-09,3185
2020-10-10,1715
2020-10-11,2163
2020-10-12,609
2020-10-13,4928
2020-10-14,5601
2020-10-15,3827
