date,number_of_retweets
2020-06-04,48
2020-06-05,57
2020-06-06,18
2020-06-07,30
2020-06-08,33
2020-06-09,27
2020-06-10,15
2020-06-11,27
2020-06-12,33
2020-06-13,36
2020-06-14,42
2020-06-15,54
2020-06-16,51
2020-06-17,42
2020-06-18,36
2020-06-19,90
2020-06-20,45
2020-06-21,60
2020-06-22,48
2020-06-23,54
2020-06-24,54
2020-06-25,33
2020-06-26,18
2020-06-28,24
2020-06-29,18
2020-06-30,36
2020-07-01,99
2020-07-02,45
2020-07-03,33
2020-07-04,9
2020-07-05,21
2020-07-06,39
2020-07-07,27
2020-07-08,18
2020-07-09,36
2020-07-10,27
2020-07-11,3
2020-07-12,84
2020-07-13,60
2020-07-14,72
2020-07-15,96
2020-07-16,72
2020-07-17,81
2020-07-18,12
2020-07-19,30
2020-07-20,60
2020-07-21,105
2020-07-22,81
2020-07-23,78
2020-07-24,102
2020-07-25,33
2020-07-26,45
2020-07-27,84
2020-07-28,99
2020-07-29,66
2020-07-30,75
2020-07-31,60
2020-08-01,54
2020-08-02,24
2020-08-03,99
2020-08-04,81
2020-08-05,36
2020-08-06,57
2020-08-07,51
2020-08-08,36
2020-08-09,60
2020-08-10,66
2020-08-11,42
2020-08-12,75
2020-08-13,63
2020-08-14,27
2020-08-15,15
2020-08-16,27
2020-08-17,33
2020-08-18,45
2020-08-19,18
2020-08-20,30
2020-08-21,27
2020-08-22,21
2020-08-23,6
2020-08-24,24
2020-08-25,33
2020-08-26,12
2020-08-27,60
2020-08-28,54
2020-08-29,15
2020-08-30,51
2020-08-31,75
2020-09-01,45
2020-09-02,57
2020-09-03,30
2020-09-04,30
2020-09-05,21
2020-09-06,18
2020-09-07,33
2020-09-08,51
2020-09-09,54
2020-09-10,39
2020-09-11,66
2020-09-12,24
2020-09-13,12
2020-09-14,54
2020-09-15,90
2020-09-16,129
2020-09-17,57
2020-09-18,27
2020-09-19,24
2020-09-20,48
2020-09-21,54
2020-09-22,36
2020-09-23,24
2020-09-24,27
2020-09-25,45
2020-09-26,30
2020-09-27,33
2020-09-28,51
2020-09-29,54
2020-09-30,66
2020-10-01,66
2020-10-02,57
2020-10-04,54
2020-10-05,84
2020-10-06,60
2020-10-07,69
2020-10-08,60
2020-10-09,93
2020-10-10,3
2020-10-11,36
2020-10-12,39
2020-10-13,69
2020-10-14,87
2020-10-15,126
