date,number_of_tweets
2020-01-01,2
2020-01-02,8
2020-01-03,26
2020-01-05,8
2020-01-06,10
2020-01-07,26
2020-01-08,42
2020-01-09,14
2020-01-10,8
2020-01-11,8
2020-01-12,12
2020-01-13,14
2020-01-14,18
2020-01-15,44
2020-01-16,48
2020-01-17,22
2020-01-18,12
2020-01-19,8
2020-01-20,10
2020-01-21,24
2020-01-22,12
2020-01-23,52
2020-01-24,22
2020-01-25,18
2020-01-26,28
2020-01-27,20
2020-01-28,40
2020-01-29,90
2020-01-30,28
2020-01-31,22
2020-02-01,6
2020-02-03,18
2020-02-04,56
2020-02-05,36
2020-02-06,14
2020-02-07,10
2020-02-08,146
2020-02-09,2
2020-02-10,10
2020-02-11,16
2020-02-12,48
2020-02-13,76
2020-02-14,22
2020-02-15,16
2020-02-16,6
2020-02-17,14
2020-02-18,28
2020-02-19,36
2020-02-20,18
2020-02-21,28
2020-02-22,18
2020-02-24,12
2020-02-25,26
2020-02-26,20
2020-02-27,58
2020-02-28,4
2020-02-29,2
2020-03-01,2
2020-03-02,36
2020-03-03,22
2020-03-04,4
2020-03-05,28
2020-03-06,4
2020-03-07,18
2020-03-08,6
2020-03-09,18
2020-03-10,50
2020-03-11,10
2020-03-12,8
2020-03-13,18
2020-03-14,22
2020-03-15,16
2020-03-16,20
2020-03-17,10
2020-03-18,58
2020-03-19,52
2020-03-20,42
2020-03-22,2
2020-03-23,64
2020-03-24,48
2020-03-25,52
2020-03-26,44
2020-03-27,70
2020-03-28,58
2020-03-29,10
2020-03-30,42
2020-03-31,68
2020-04-01,20
2020-04-02,20
2020-04-03,60
2020-04-04,6
2020-04-05,4
2020-04-06,76
2020-04-07,26
2020-04-08,46
2020-04-09,8
2020-04-10,14
2020-04-11,6
2020-04-12,2
2020-04-13,6
2020-04-14,14
2020-04-15,36
2020-04-16,20
2020-04-17,26
2020-04-18,8
2020-04-19,12
2020-04-20,64
2020-04-21,20
2020-04-22,32
2020-04-23,64
2020-04-24,72
2020-04-25,2
2020-04-26,10
2020-04-27,30
2020-04-28,28
2020-04-29,4
2020-04-30,36
2020-05-01,9
2020-05-02,9
2020-05-03,27
2020-05-04,69
2020-05-05,60
2020-05-06,15
2020-05-07,96
2020-05-08,105
2020-05-09,6
2020-05-10,39
2020-05-11,30
2020-05-12,42
2020-05-13,15
2020-05-14,21
2020-05-15,96
2020-05-16,9
2020-05-17,93
2020-05-18,102
2020-05-19,60
2020-05-20,78
2020-05-21,60
2020-05-22,54
2020-05-23,15
2020-05-24,12
2020-05-25,81
2020-05-26,42
2020-05-27,90
2020-05-28,129
2020-05-29,3
2020-05-30,18
2020-05-31,21
2020-06-01,45
2020-06-02,12
2020-06-03,24
2020-06-04,123
2020-06-05,24
2020-06-06,36
2020-06-07,18
2020-06-08,12
2020-06-09,18
2020-06-10,162
2020-06-11,36
2020-06-12,78
2020-06-13,12
2020-06-14,24
2020-06-15,96
2020-06-16,30
2020-06-17,90
2020-06-18,90
2020-06-19,72
2020-06-20,24
2020-06-21,24
2020-06-22,72
2020-06-23,141
2020-06-24,42
2020-06-25,66
2020-06-26,42
2020-06-29,126
2020-06-30,78
2020-07-01,90
2020-07-02,144
2020-07-03,48
2020-07-04,12
2020-07-05,12
2020-07-06,78
2020-07-07,60
2020-07-08,12
2020-07-09,108
2020-07-10,120
2020-07-12,12
2020-07-14,198
2020-07-15,90
2020-07-16,114
2020-07-17,156
2020-07-19,12
2020-07-20,12
2020-07-21,48
2020-07-22,108
2020-07-23,114
2020-07-24,54
2020-07-25,24
2020-07-26,12
2020-07-27,36
2020-07-28,72
2020-07-29,72
2020-07-30,66
2020-07-31,72
2020-08-01,24
2020-08-03,18
2020-08-04,42
2020-08-05,30
2020-08-06,42
2020-08-07,18
2020-08-08,18
2020-08-09,12
2020-08-10,30
2020-08-11,12
2020-08-12,12
2020-08-13,18
2020-08-14,18
2020-08-15,24
2020-08-17,36
2020-08-18,48
2020-08-19,54
2020-08-20,24
2020-08-21,18
2020-08-24,6
2020-08-25,18
2020-08-26,18
2020-08-27,36
2020-08-28,18
2020-08-29,6
2020-08-30,36
2020-08-31,12
2020-09-01,30
2020-09-02,30
2020-09-03,36
2020-09-04,24
2020-09-05,12
2020-09-06,6
2020-09-07,54
2020-09-08,30
2020-09-09,18
2020-09-10,66
2020-09-11,42
2020-09-12,6
2020-09-13,6
2020-09-14,54
2020-09-15,102
2020-09-16,144
2020-09-17,126
2020-09-18,102
2020-09-19,12
2020-09-20,24
2020-09-21,72
2020-09-22,54
2020-09-23,36
2020-09-24,66
2020-09-25,54
2020-09-26,390
2020-09-27,18
2020-09-28,6
2020-09-29,42
2020-09-30,42
2020-10-01,28
2020-10-02,70
2020-10-03,14
2020-10-04,21
2020-10-05,63
2020-10-06,49
2020-10-07,126
2020-10-08,182
2020-10-09,77
2020-10-10,14
2020-10-11,21
2020-10-12,35
2020-10-13,84
2020-10-14,115
2020-10-15,102
