date,likes_count
2020-08-10,1210
2020-08-11,1305
2020-08-12,1072
2020-08-13,2072
2020-08-14,1471
2020-08-15,839
2020-08-16,0
2020-08-17,3075
2020-08-18,2772
2020-08-19,2753
2020-08-20,2875
2020-08-21,2212
2020-08-22,1228
2020-08-23,658
2020-08-24,3165
2020-08-25,2757
2020-08-26,1943
2020-08-27,1991
2020-08-28,3260
2020-08-29,457
2020-08-30,1688
2020-08-31,1875
2020-09-01,2727
2020-09-02,2959
2020-09-03,2887
2020-09-04,2450
2020-09-05,0
2020-09-06,0
2020-09-07,2189
2020-09-08,2389
2020-09-09,2513
2020-09-10,1864
2020-09-11,2641
2020-09-12,386
2020-09-13,1052
2020-09-14,2074
2020-09-15,2162
2020-09-16,3254
2020-09-17,3223
2020-09-18,2637
2020-09-19,687
2020-09-20,1213
2020-09-21,3335
2020-09-22,3180
2020-09-23,2113
2020-09-24,2378
2020-09-25,1769
2020-09-26,1409
2020-09-27,521
2020-09-28,2033
2020-09-29,2214
2020-09-30,1765
2020-10-01,1693
2020-10-02,1615
2020-10-03,739
2020-10-04,0
2020-10-05,1232
2020-10-06,1355
2020-10-07,4986
2020-10-08,125
2020-10-09,1343
2020-10-10,0
2020-10-11,0
2020-10-12,208
2020-10-13,296
2020-10-14,5329
2020-10-15,1639
