date,retweets_count
2020-08-10,596
2020-08-11,162
2020-08-12,201
2020-08-13,779
2020-08-14,379
2020-08-15,223
2020-08-16,1009
2020-08-17,1778
2020-08-18,2628
2020-08-19,1224
2020-08-20,1565
2020-08-21,899
2020-08-22,558
2020-08-23,318
2020-08-24,1696
2020-08-25,1635
2020-08-26,867
2020-08-27,2980
2020-08-28,1674
2020-08-29,98
2020-08-30,1179
2020-08-31,1222
2020-09-01,2109
2020-09-02,2600
2020-09-03,1641
2020-09-04,1392
2020-09-05,96
2020-09-06,81
2020-09-07,912
2020-09-08,2568
2020-09-09,2499
2020-09-10,1618
2020-09-11,1335
2020-09-12,673
2020-09-13,2174
2020-09-14,2230
2020-09-15,3044
2020-09-16,6001
2020-09-17,4009
2020-09-18,6340
2020-09-19,1002
2020-09-20,3119
2020-09-21,3477
2020-09-22,1745
2020-09-23,2032
2020-09-24,1934
2020-09-25,1579
2020-09-26,613
2020-09-27,299
2020-09-28,930
2020-09-29,2774
2020-09-30,3548
2020-10-01,1176
2020-10-02,1278
2020-10-03,820
2020-10-04,68
2020-10-05,942
2020-10-06,1077
2020-10-07,3037
2020-10-08,289
2020-10-09,1232
2020-10-10,468
2020-10-11,933
2020-10-12,1092
2020-10-13,1999
2020-10-14,3145
2020-10-15,2972
