date,number_of_retweets
2020-08-10,12
2020-08-12,9
2020-08-13,3
2020-08-14,3
2020-08-15,2
2020-08-16,4
2020-08-17,17
2020-08-18,18
2020-08-19,18
2020-08-20,24
2020-08-21,13
2020-08-22,1
2020-08-23,8
2020-08-24,9
2020-08-25,19
2020-08-26,24
2020-08-27,23
2020-08-28,14
2020-08-30,12
2020-08-31,6
2020-09-01,20
2020-09-02,32
2020-09-03,24
2020-09-04,16
2020-09-05,1
2020-09-06,2
2020-09-07,5
2020-09-08,24
2020-09-09,30
2020-09-10,21
2020-09-11,12
2020-09-12,6
2020-09-13,16
2020-09-14,29
2020-09-15,28
2020-09-16,62
2020-09-17,49
2020-09-18,68
2020-09-19,9
2020-09-20,20
2020-09-21,25
2020-09-22,21
2020-09-23,33
2020-09-24,25
2020-09-25,24
2020-09-26,7
2020-09-27,4
2020-09-28,11
2020-09-29,35
2020-09-30,53
2020-10-01,20
2020-10-02,24
2020-10-03,11
2020-10-04,1
2020-10-05,13
2020-10-06,14
2020-10-07,24
2020-10-08,6
2020-10-09,10
2020-10-10,1
2020-10-11,7
2020-10-12,10
2020-10-13,32
2020-10-14,31
2020-10-15,56
