date,number_of_tweets
2020-08-10,14
2020-08-11,15
2020-08-12,12
2020-08-13,17
2020-08-14,5
2020-08-15,1
2020-08-17,49
2020-08-18,50
2020-08-19,52
2020-08-20,42
2020-08-21,43
2020-08-22,12
2020-08-23,1
2020-08-24,44
2020-08-25,46
2020-08-26,41
2020-08-27,41
2020-08-28,61
2020-08-29,6
2020-08-30,17
2020-08-31,51
2020-09-01,53
2020-09-02,46
2020-09-03,60
2020-09-04,46
2020-09-07,49
2020-09-08,47
2020-09-09,70
2020-09-10,47
2020-09-11,42
2020-09-12,7
2020-09-13,22
2020-09-14,37
2020-09-15,48
2020-09-16,39
2020-09-17,45
2020-09-18,54
2020-09-19,10
2020-09-20,23
2020-09-21,49
2020-09-22,51
2020-09-23,37
2020-09-24,42
2020-09-25,39
2020-09-26,8
2020-09-27,13
2020-09-28,44
2020-09-29,34
2020-09-30,43
2020-10-01,35
2020-10-02,42
2020-10-03,7
2020-10-05,24
2020-10-06,28
2020-10-07,49
2020-10-08,1
2020-10-09,7
2020-10-12,2
2020-10-13,2
2020-10-14,124
2020-10-15,32
