date,likes_count
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,149
2020-06-06,384
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,433
2020-06-11,0
2020-06-12,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,388
2020-06-22,0
2020-06-23,0
2020-06-24,19
2020-06-25,587
2020-06-26,0
2020-06-27,0
2020-06-28,29
2020-06-29,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-05,0
2020-07-06,118
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,195
2020-07-16,48
2020-07-17,0
2020-07-18,0
2020-07-20,92
2020-07-21,250
2020-07-22,0
2020-07-23,788
2020-07-24,930
2020-07-25,107
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,38
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,246
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-10,0
2020-08-11,0
2020-08-14,39
2020-08-15,0
2020-08-17,0
2020-08-18,0
2020-08-19,52
2020-08-20,53
2020-08-21,0
2020-08-22,98
2020-08-23,0
2020-08-24,0
2020-08-25,207
2020-08-26,0
2020-08-27,1160
2020-08-28,1199
2020-08-29,0
2020-08-30,0
2020-08-31,271
2020-09-01,0
2020-09-02,719
2020-09-03,140
2020-09-06,0
2020-09-07,145
2020-09-08,119
2020-09-09,1191
2020-09-10,179
2020-09-12,0
2020-09-14,0
2020-09-15,457
2020-09-16,517
2020-09-17,157
2020-09-18,198
2020-09-20,0
2020-09-21,62
2020-09-22,0
2020-09-23,43
2020-09-24,401
2020-09-25,49
2020-09-26,0
2020-09-27,218
2020-09-28,0
2020-09-29,19
2020-09-30,0
2020-10-01,11
2020-10-02,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,32
2020-10-09,0
2020-10-10,0
2020-10-11,48
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
