date,retweets_count
2020-06-01,792
2020-06-02,549
2020-06-03,285
2020-06-04,1475
2020-06-05,25
2020-06-06,540
2020-06-07,649
2020-06-08,538
2020-06-09,20
2020-06-10,2097
2020-06-11,173
2020-06-12,1631
2020-06-14,1361
2020-06-15,717
2020-06-16,1035
2020-06-17,1804
2020-06-18,1577
2020-06-19,784
2020-06-20,1546
2020-06-21,387
2020-06-22,652
2020-06-23,974
2020-06-24,690
2020-06-25,2254
2020-06-26,2957
2020-06-27,42
2020-06-28,789
2020-06-29,5
2020-07-01,3898
2020-07-02,405
2020-07-03,1830
2020-07-05,7
2020-07-06,2631
2020-07-07,1153
2020-07-08,1747
2020-07-09,686
2020-07-10,1618
2020-07-11,315
2020-07-12,638
2020-07-13,82
2020-07-14,590
2020-07-15,1392
2020-07-16,1027
2020-07-17,968
2020-07-18,11
2020-07-20,1470
2020-07-21,1491
2020-07-22,1586
2020-07-23,496
2020-07-24,556
2020-07-25,725
2020-07-26,194
2020-07-27,513
2020-07-28,577
2020-07-29,182
2020-07-30,1485
2020-07-31,490
2020-08-01,1056
2020-08-02,311
2020-08-03,1843
2020-08-04,1165
2020-08-05,751
2020-08-06,2138
2020-08-07,451
2020-08-08,103
2020-08-10,63
2020-08-11,23
2020-08-14,1178
2020-08-15,10
2020-08-17,233
2020-08-18,652
2020-08-19,403
2020-08-20,1451
2020-08-21,1137
2020-08-22,11
2020-08-23,48
2020-08-24,1590
2020-08-25,2053
2020-08-26,1069
2020-08-27,2983
2020-08-28,4367
2020-08-29,63
2020-08-30,481
2020-08-31,710
2020-09-01,196
2020-09-02,2717
2020-09-03,679
2020-09-06,738
2020-09-07,529
2020-09-08,2036
2020-09-09,2165
2020-09-10,1046
2020-09-12,524
2020-09-14,3365
2020-09-15,3472
2020-09-16,2432
2020-09-17,3762
2020-09-18,1959
2020-09-20,236
2020-09-21,1544
2020-09-22,2539
2020-09-23,2161
2020-09-24,1001
2020-09-25,749
2020-09-26,8
2020-09-27,50
2020-09-28,208
2020-09-29,1138
2020-09-30,268
2020-10-01,8
2020-10-02,438
2020-10-04,290
2020-10-05,29
2020-10-06,728
2020-10-07,299
2020-10-08,49
2020-10-09,535
2020-10-10,12
2020-10-11,47
2020-10-12,420
2020-10-13,104
2020-10-14,1212
2020-10-15,940
