date,number_of_retweets
2020-06-01,18
2020-06-02,10
2020-06-03,5
2020-06-04,36
2020-06-06,11
2020-06-07,16
2020-06-08,13
2020-06-09,1
2020-06-10,38
2020-06-11,12
2020-06-12,25
2020-06-14,20
2020-06-15,26
2020-06-16,30
2020-06-17,45
2020-06-18,39
2020-06-19,15
2020-06-20,28
2020-06-21,12
2020-06-22,20
2020-06-23,51
2020-06-24,31
2020-06-25,79
2020-06-26,125
2020-06-27,1
2020-06-28,22
2020-06-29,1
2020-07-01,37
2020-07-02,21
2020-07-03,46
2020-07-05,1
2020-07-06,51
2020-07-07,24
2020-07-08,24
2020-07-09,6
2020-07-10,44
2020-07-11,8
2020-07-12,18
2020-07-13,1
2020-07-14,17
2020-07-15,27
2020-07-16,21
2020-07-17,18
2020-07-18,2
2020-07-20,46
2020-07-21,32
2020-07-22,53
2020-07-23,10
2020-07-24,2
2020-07-25,17
2020-07-26,5
2020-07-27,25
2020-07-28,21
2020-07-29,8
2020-07-30,36
2020-07-31,10
2020-08-01,16
2020-08-02,10
2020-08-03,37
2020-08-04,31
2020-08-05,27
2020-08-06,33
2020-08-07,27
2020-08-08,1
2020-08-10,5
2020-08-11,2
2020-08-14,19
2020-08-15,1
2020-08-17,18
2020-08-18,23
2020-08-19,17
2020-08-20,60
2020-08-21,44
2020-08-23,1
2020-08-24,18
2020-08-25,41
2020-08-26,33
2020-08-27,35
2020-08-28,45
2020-08-29,1
2020-08-30,14
2020-08-31,13
2020-09-01,17
2020-09-02,36
2020-09-03,31
2020-09-06,12
2020-09-07,17
2020-09-08,37
2020-09-09,39
2020-09-10,12
2020-09-12,11
2020-09-14,61
2020-09-15,49
2020-09-16,37
2020-09-17,59
2020-09-18,32
2020-09-20,7
2020-09-21,24
2020-09-22,30
2020-09-23,39
2020-09-24,7
2020-09-25,8
2020-09-26,1
2020-09-28,6
2020-09-29,19
2020-09-30,6
2020-10-01,1
2020-10-02,18
2020-10-04,3
2020-10-05,4
2020-10-06,20
2020-10-07,4
2020-10-08,2
2020-10-09,6
2020-10-10,1
2020-10-11,2
2020-10-12,5
2020-10-13,2
2020-10-14,35
2020-10-15,33
