date,number_of_tweets
2020-06-05,1
2020-06-06,1
2020-06-10,2
2020-06-21,2
2020-06-24,1
2020-06-25,1
2020-06-28,1
2020-07-06,1
2020-07-15,1
2020-07-16,2
2020-07-20,1
2020-07-21,3
2020-07-23,4
2020-07-24,4
2020-07-25,1
2020-07-29,1
2020-08-05,1
2020-08-14,1
2020-08-19,1
2020-08-20,1
2020-08-22,1
2020-08-25,3
2020-08-27,7
2020-08-28,7
2020-08-31,1
2020-09-02,5
2020-09-03,1
2020-09-07,2
2020-09-08,1
2020-09-09,7
2020-09-10,2
2020-09-15,2
2020-09-16,7
2020-09-17,1
2020-09-18,2
2020-09-21,1
2020-09-23,1
2020-09-24,2
2020-09-25,1
2020-09-27,1
2020-09-29,1
2020-10-01,2
2020-10-08,1
2020-10-11,1
