date,likes_count
2020-07-31,134
2020-08-01,72
2020-08-02,186
2020-08-03,266
2020-08-04,236
2020-08-05,199
2020-08-06,158
2020-08-07,342
2020-08-08,244
2020-08-09,144
2020-08-10,221
2020-08-11,180
2020-08-12,425
2020-08-13,432
2020-08-14,230
2020-08-15,1075
2020-08-16,439
2020-08-17,562
2020-08-18,375
2020-08-19,244
2020-08-20,197
2020-08-21,309
2020-08-22,177
2020-08-23,388
2020-08-24,306
2020-08-25,326
2020-08-26,298
2020-08-27,258
2020-08-28,282
2020-08-29,341
2020-08-30,228
2020-08-31,251
2020-09-01,228
2020-09-02,429
2020-09-03,357
2020-09-04,180
2020-09-05,493
2020-09-06,226
2020-09-07,138
2020-09-08,832
2020-09-09,266
2020-09-10,295
2020-09-11,285
2020-09-12,247
2020-09-13,415
2020-09-14,427
2020-09-15,279
2020-09-16,1044
2020-09-17,811
2020-09-18,918
2020-09-19,453
2020-09-20,655
2020-09-21,851
2020-09-22,393
2020-09-23,177
2020-09-24,422
2020-09-25,274
2020-09-26,380
2020-09-27,189
2020-09-28,455
2020-09-29,524
2020-09-30,568
2020-10-01,447
2020-10-02,265
2020-10-03,133
2020-10-04,233
2020-10-05,300
2020-10-06,422
2020-10-07,530
2020-10-08,168
2020-10-09,181
2020-10-10,150
2020-10-11,185
2020-10-12,218
2020-10-13,960
2020-10-14,716
2020-10-15,168
