date,retweets_count
2020-07-31,348
2020-08-01,307
2020-08-02,134
2020-08-03,364
2020-08-04,421
2020-08-05,228
2020-08-06,627
2020-08-07,312
2020-08-08,1165
2020-08-09,297
2020-08-10,462
2020-08-11,942
2020-08-12,711
2020-08-13,533
2020-08-14,1733
2020-08-15,485
2020-08-16,1119
2020-08-17,289
2020-08-18,142
2020-08-19,184
2020-08-20,426
2020-08-21,203
2020-08-22,138
2020-08-23,161
2020-08-24,556
2020-08-25,196
2020-08-26,148
2020-08-27,384
2020-08-28,517
2020-08-29,488
2020-08-30,91
2020-08-31,339
2020-09-01,463
2020-09-02,577
2020-09-03,503
2020-09-04,257
2020-09-05,272
2020-09-06,419
2020-09-07,266
2020-09-08,1218
2020-09-09,486
2020-09-10,1102
2020-09-11,429
2020-09-12,824
2020-09-13,948
2020-09-14,1142
2020-09-15,896
2020-09-16,1983
2020-09-17,2134
2020-09-18,2449
2020-09-19,1168
2020-09-20,759
2020-09-21,862
2020-09-22,995
2020-09-23,1142
2020-09-24,1177
2020-09-25,920
2020-09-26,237
2020-09-27,305
2020-09-28,712
2020-09-29,1204
2020-09-30,2089
2020-10-01,609
2020-10-02,548
2020-10-03,418
2020-10-04,71
2020-10-05,600
2020-10-06,1122
2020-10-07,1299
2020-10-08,748
2020-10-09,799
2020-10-10,177
2020-10-11,331
2020-10-12,819
2020-10-13,1913
2020-10-14,733
2020-10-15,487
