date,number_of_retweets
2020-07-31,10
2020-08-01,15
2020-08-02,11
2020-08-03,12
2020-08-04,13
2020-08-05,16
2020-08-06,17
2020-08-07,15
2020-08-08,27
2020-08-09,13
2020-08-10,32
2020-08-11,30
2020-08-12,28
2020-08-13,20
2020-08-14,25
2020-08-15,17
2020-08-16,22
2020-08-17,14
2020-08-18,8
2020-08-19,9
2020-08-20,11
2020-08-21,11
2020-08-22,8
2020-08-23,4
2020-08-24,12
2020-08-25,9
2020-08-26,10
2020-08-27,15
2020-08-28,17
2020-08-29,15
2020-08-30,5
2020-08-31,4
2020-09-01,23
2020-09-02,15
2020-09-03,14
2020-09-04,12
2020-09-05,10
2020-09-06,20
2020-09-07,16
2020-09-08,37
2020-09-09,15
2020-09-10,31
2020-09-11,19
2020-09-12,27
2020-09-13,22
2020-09-14,34
2020-09-15,25
2020-09-16,37
2020-09-17,54
2020-09-18,38
2020-09-19,29
2020-09-20,21
2020-09-21,19
2020-09-22,37
2020-09-23,41
2020-09-24,33
2020-09-25,32
2020-09-26,4
2020-09-27,12
2020-09-28,31
2020-09-29,37
2020-09-30,49
2020-10-01,23
2020-10-02,19
2020-10-03,13
2020-10-04,5
2020-10-05,28
2020-10-06,30
2020-10-07,32
2020-10-08,18
2020-10-09,23
2020-10-10,8
2020-10-11,13
2020-10-12,35
2020-10-13,48
2020-10-14,29
2020-10-15,24
