date,number_of_tweets
2020-07-31,7
2020-08-01,2
2020-08-02,7
2020-08-03,11
2020-08-04,12
2020-08-05,10
2020-08-06,13
2020-08-07,27
2020-08-08,16
2020-08-09,6
2020-08-10,15
2020-08-11,15
2020-08-12,25
2020-08-13,18
2020-08-14,17
2020-08-15,32
2020-08-16,7
2020-08-17,23
2020-08-18,17
2020-08-19,21
2020-08-20,12
2020-08-21,18
2020-08-22,9
2020-08-23,12
2020-08-24,11
2020-08-25,16
2020-08-26,19
2020-08-27,21
2020-08-28,24
2020-08-29,22
2020-08-30,14
2020-08-31,19
2020-09-01,26
2020-09-02,35
2020-09-03,12
2020-09-04,13
2020-09-05,34
2020-09-06,16
2020-09-07,11
2020-09-08,35
2020-09-09,21
2020-09-10,49
2020-09-11,33
2020-09-12,24
2020-09-13,36
2020-09-14,28
2020-09-15,29
2020-09-16,59
2020-09-17,40
2020-09-18,46
2020-09-19,29
2020-09-20,25
2020-09-21,30
2020-09-22,23
2020-09-23,23
2020-09-24,34
2020-09-25,23
2020-09-26,21
2020-09-27,10
2020-09-28,30
2020-09-29,30
2020-09-30,31
2020-10-01,31
2020-10-02,18
2020-10-03,9
2020-10-04,11
2020-10-05,20
2020-10-06,23
2020-10-07,29
2020-10-08,9
2020-10-09,17
2020-10-10,12
2020-10-11,9
2020-10-12,20
2020-10-13,44
2020-10-14,42
2020-10-15,14
