date,retweets_count
2020-06-02,8
2020-06-03,5
2020-06-04,41
2020-06-05,22
2020-06-06,6
2020-06-08,50
2020-06-09,33
2020-06-10,2
2020-06-12,64
2020-06-13,13
2020-06-15,51
2020-06-16,94
2020-06-17,248
2020-06-18,230
2020-06-19,157
2020-06-20,316
2020-06-21,192
2020-06-22,107
2020-06-23,29
2020-06-24,7
2020-06-25,29
2020-06-26,74
2020-06-27,72
2020-06-29,2
2020-06-30,625
2020-07-01,180
2020-07-02,9
2020-07-03,9
2020-07-05,9
2020-07-06,37
2020-07-07,77
2020-07-08,8
2020-07-10,17
2020-07-11,4
2020-07-12,31
2020-07-13,8
2020-07-14,3
2020-07-15,54
2020-07-16,42
2020-07-19,28
2020-07-20,10
2020-07-21,28
2020-07-24,9
2020-07-26,13
2020-08-01,10
2020-08-04,7
2020-08-05,36
2020-08-06,3
2020-08-08,4
2020-08-09,36
2020-08-11,8
2020-08-13,5
2020-08-14,144
2020-08-15,2
2020-08-17,38
2020-08-18,7
2020-08-21,2
2020-08-26,11
2020-08-27,4
2020-08-30,0
2020-08-31,241
2020-09-01,6
2020-09-02,2
2020-09-07,12
2020-09-12,5
2020-09-16,13
2020-09-17,18
2020-09-18,1
2020-10-01,27
2020-10-02,2
2020-10-05,11
2020-10-06,4
2020-10-10,23
2020-10-12,6
2020-10-13,10
2020-10-14,5
