date,number_of_retweets
2020-06-02,1
2020-06-03,1
2020-06-04,4
2020-06-05,2
2020-06-06,1
2020-06-08,2
2020-06-09,5
2020-06-10,1
2020-06-12,3
2020-06-13,2
2020-06-15,3
2020-06-16,7
2020-06-17,8
2020-06-18,6
2020-06-19,4
2020-06-20,8
2020-06-21,7
2020-06-22,5
2020-06-23,2
2020-06-25,2
2020-06-26,4
2020-06-27,1
2020-06-29,1
2020-06-30,1
2020-07-01,3
2020-07-02,1
2020-07-03,1
2020-07-05,1
2020-07-06,4
2020-07-07,1
2020-07-08,1
2020-07-10,1
2020-07-11,1
2020-07-12,2
2020-07-13,2
2020-07-14,1
2020-07-15,4
2020-07-16,1
2020-07-19,1
2020-07-20,2
2020-07-21,1
2020-07-24,1
2020-07-26,2
2020-08-01,1
2020-08-04,1
2020-08-05,1
2020-08-06,1
2020-08-08,1
2020-08-09,2
2020-08-11,1
2020-08-13,1
2020-08-14,3
2020-08-17,1
2020-08-18,1
2020-08-21,1
2020-08-26,1
2020-08-27,1
2020-08-31,2
2020-09-01,1
2020-09-02,1
2020-09-07,1
2020-09-12,1
2020-09-16,1
2020-09-17,2
2020-09-18,1
2020-10-01,2
2020-10-02,1
2020-10-05,1
2020-10-06,1
2020-10-10,3
2020-10-12,1
2020-10-13,1
2020-10-14,1
