date,retweets_count
2020-06-01,205
2020-06-02,222
2020-06-03,849
2020-06-04,1133
2020-06-05,854
2020-06-06,1020
2020-06-07,905
2020-06-08,498
2020-06-09,814
2020-06-10,234
2020-06-11,655
2020-06-12,712
2020-06-13,515
2020-06-14,663
2020-06-15,306
2020-06-16,346
2020-06-17,547
2020-06-18,489
2020-06-19,205
2020-06-20,992
2020-06-21,649
2020-06-22,618
2020-06-23,571
2020-06-24,806
2020-06-25,799
2020-06-26,908
2020-06-28,168
2020-06-29,9
2020-06-30,101
2020-07-01,54
2020-07-02,60
2020-07-03,75
2020-07-04,94
2020-07-05,92
2020-07-06,125
2020-07-07,77
2020-07-08,1493
2020-07-09,115
2020-07-10,58
2020-07-11,81
2020-07-12,182
2020-07-13,186
2020-07-14,42
2020-07-15,463
2020-07-16,869
2020-07-17,66
2020-07-18,42
2020-07-19,39
2020-07-20,90
2020-07-21,363
2020-07-22,454
2020-07-23,300
2020-07-24,547
2020-07-25,14
2020-07-26,152
2020-07-27,224
2020-07-28,613
2020-07-29,89
2020-07-30,72
2020-07-31,4
2020-08-01,21
2020-08-02,5
2020-08-03,12
2020-08-04,3
2020-08-05,72
2020-08-06,73
2020-08-07,61
2020-08-08,9
2020-08-09,32
2020-08-10,170
2020-08-11,527
2020-08-12,161
2020-08-13,154
2020-08-14,135
2020-08-15,350
2020-08-16,109
2020-08-17,59
2020-08-18,63
2020-08-19,119
2020-08-20,141
2020-08-21,87
2020-08-22,102
2020-08-23,73
2020-08-24,96
2020-08-25,280
2020-08-26,143
2020-08-27,115
2020-08-28,223
2020-08-29,74
2020-08-30,70
2020-08-31,104
2020-09-01,173
2020-09-02,247
2020-09-03,122
2020-09-04,210
2020-09-07,103
2020-09-08,262
2020-09-09,180
2020-09-10,194
2020-09-11,265
2020-09-12,68
2020-09-13,170
2020-09-14,200
2020-09-15,158
2020-09-16,546
2020-09-17,544
2020-09-18,393
2020-09-19,60
2020-09-20,174
2020-09-21,140
2020-09-22,315
2020-09-23,687
2020-09-24,142
2020-09-25,108
2020-09-26,12
2020-09-27,84
2020-09-28,227
2020-09-29,299
2020-09-30,563
2020-10-01,130
2020-10-02,227
2020-10-03,65
2020-10-04,42
2020-10-05,101
2020-10-06,158
2020-10-07,562
2020-10-08,353
2020-10-09,259
2020-10-10,150
2020-10-11,231
2020-10-12,470
2020-10-13,1083
2020-10-14,583
2020-10-15,556
