date,number_of_retweets
2020-06-01,7
2020-06-02,8
2020-06-03,24
2020-06-04,32
2020-06-05,23
2020-06-06,39
2020-06-07,24
2020-06-08,18
2020-06-09,28
2020-06-10,10
2020-06-11,22
2020-06-12,29
2020-06-13,26
2020-06-14,28
2020-06-15,12
2020-06-16,13
2020-06-17,25
2020-06-18,19
2020-06-19,7
2020-06-20,40
2020-06-21,21
2020-06-22,26
2020-06-23,23
2020-06-24,33
2020-06-25,37
2020-06-26,54
2020-06-28,2
2020-06-29,1
2020-06-30,1
2020-07-01,5
2020-07-02,7
2020-07-03,8
2020-07-05,3
2020-07-06,11
2020-07-07,3
2020-07-08,3
2020-07-09,4
2020-07-10,4
2020-07-11,5
2020-07-12,4
2020-07-13,7
2020-07-14,6
2020-07-15,5
2020-07-16,12
2020-07-17,8
2020-07-18,3
2020-07-19,1
2020-07-20,5
2020-07-21,5
2020-07-22,12
2020-07-23,5
2020-07-24,20
2020-07-25,1
2020-07-26,1
2020-07-27,5
2020-07-28,23
2020-07-29,1
2020-07-30,2
2020-07-31,1
2020-08-01,2
2020-08-02,1
2020-08-03,1
2020-08-05,1
2020-08-06,6
2020-08-08,1
2020-08-09,3
2020-08-10,9
2020-08-11,13
2020-08-12,4
2020-08-13,7
2020-08-14,3
2020-08-15,11
2020-08-16,1
2020-08-17,3
2020-08-18,2
2020-08-19,3
2020-08-20,7
2020-08-21,5
2020-08-22,4
2020-08-23,3
2020-08-24,3
2020-08-25,3
2020-08-26,4
2020-08-27,6
2020-08-28,3
2020-08-29,6
2020-08-31,6
2020-09-01,9
2020-09-02,2
2020-09-03,5
2020-09-04,4
2020-09-07,7
2020-09-08,8
2020-09-09,7
2020-09-10,7
2020-09-11,1
2020-09-12,4
2020-09-13,5
2020-09-14,3
2020-09-15,7
2020-09-16,16
2020-09-17,13
2020-09-18,11
2020-09-19,8
2020-09-20,5
2020-09-21,8
2020-09-22,13
2020-09-23,19
2020-09-24,3
2020-09-25,8
2020-09-26,2
2020-09-27,7
2020-09-28,5
2020-09-29,8
2020-09-30,16
2020-10-01,1
2020-10-02,13
2020-10-03,7
2020-10-04,3
2020-10-05,6
2020-10-06,5
2020-10-07,17
2020-10-08,9
2020-10-09,3
2020-10-10,5
2020-10-11,4
2020-10-12,9
2020-10-13,17
2020-10-14,6
2020-10-15,9
