date,number_of_tweets
2020-06-01,5
2020-06-02,2
2020-06-03,2
2020-06-04,11
2020-06-05,1
2020-06-07,1
2020-06-08,6
2020-06-09,4
2020-06-10,2
2020-06-12,4
2020-06-13,3
2020-06-14,3
2020-06-15,1
2020-06-16,3
2020-06-17,2
2020-06-18,2
2020-06-21,3
2020-06-22,2
2020-06-23,3
2020-06-24,3
2020-06-25,6
2020-06-26,2
2020-06-28,1
2020-06-29,2
2020-06-30,4
2020-07-01,1
2020-07-02,1
2020-07-03,1
2020-07-04,3
2020-07-05,2
2020-07-08,2
2020-07-09,4
2020-07-14,1
2020-07-15,13
2020-07-16,10
2020-07-17,1
2020-07-18,1
2020-07-19,1
2020-07-21,11
2020-07-22,5
2020-07-23,16
2020-07-24,6
2020-07-26,2
2020-07-27,4
2020-07-28,11
2020-07-29,7
2020-07-30,4
2020-08-03,2
2020-08-04,1
2020-08-05,5
2020-08-06,1
2020-08-07,5
2020-08-08,1
2020-08-09,2
2020-08-10,2
2020-08-11,13
2020-08-12,7
2020-08-13,4
2020-08-14,7
2020-08-15,9
2020-08-16,7
2020-08-17,1
2020-08-18,4
2020-08-19,7
2020-08-20,4
2020-08-21,1
2020-08-23,1
2020-08-24,4
2020-08-25,9
2020-08-26,11
2020-08-27,9
2020-08-28,12
2020-08-30,7
2020-09-01,6
2020-09-02,17
2020-09-03,6
2020-09-04,18
2020-09-07,3
2020-09-08,7
2020-09-09,4
2020-09-10,15
2020-09-11,18
2020-09-12,1
2020-09-13,7
2020-09-14,15
2020-09-15,7
2020-09-16,28
2020-09-17,28
2020-09-18,12
2020-09-19,2
2020-09-20,6
2020-09-21,6
2020-09-22,10
2020-09-23,20
2020-09-24,11
2020-09-25,4
2020-09-27,2
2020-09-28,13
2020-09-29,19
2020-09-30,18
2020-10-01,10
2020-10-02,13
2020-10-03,1
2020-10-04,2
2020-10-05,3
2020-10-06,5
2020-10-07,24
2020-10-08,19
2020-10-09,12
2020-10-10,10
2020-10-11,16
2020-10-12,23
2020-10-13,56
2020-10-14,24
2020-10-15,19
