date,likes_count
2020-06-01,224
2020-06-02,74
2020-06-03,88
2020-06-04,162
2020-06-05,92
2020-06-06,32
2020-06-07,36
2020-06-08,224
2020-06-09,100
2020-06-10,160
2020-06-12,1476
2020-06-13,0
2020-06-14,34
2020-06-15,18
2020-06-16,40
2020-06-17,14
2020-06-18,0
2020-06-19,56
2020-06-20,54
2020-06-21,0
2020-06-22,212
2020-06-23,72
2020-06-24,174
2020-06-25,14
2020-06-26,40
2020-06-27,0
2020-06-28,0
2020-06-29,128
2020-06-30,40
2020-07-01,52
2020-07-02,0
2020-07-03,76
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,18
2020-07-08,0
2020-07-09,10
2020-07-10,22
2020-07-11,0
2020-07-12,78
2020-07-13,156
2020-07-14,68
2020-07-15,6
2020-07-16,12
2020-07-17,68
2020-07-19,72
2020-07-20,64
2020-07-21,0
2020-07-22,26
2020-07-23,40
2020-07-24,16
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,44
2020-08-13,0
2020-08-14,0
2020-08-15,82
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-22,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,52
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,48
2020-09-06,0
2020-09-07,52
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,156
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,38
2020-09-18,106
2020-09-21,94
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,331
2020-09-29,0
2020-09-30,194
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,24
2020-10-06,328
2020-10-07,38
2020-10-08,56
2020-10-09,18
2020-10-10,0
2020-10-12,30
2020-10-13,0
2020-10-14,0
2020-10-15,8
2020-10-16,0
