date,retweets_count
2020-06-01,472
2020-06-02,194
2020-06-03,492
2020-06-04,852
2020-06-05,330
2020-06-06,3380
2020-06-07,1174
2020-06-08,856
2020-06-09,818
2020-06-10,598
2020-06-12,950
2020-06-13,610
2020-06-14,136
2020-06-15,846
2020-06-16,376
2020-06-17,11788
2020-06-18,2264
2020-06-19,134
2020-06-20,504
2020-06-21,2480
2020-06-22,594
2020-06-23,302
2020-06-24,262
2020-06-25,1878
2020-06-26,3201
2020-06-27,12
2020-06-28,2428
2020-06-29,294
2020-06-30,32
2020-07-01,1638
2020-07-02,270
2020-07-03,158
2020-07-04,192
2020-07-05,572
2020-07-06,22
2020-07-07,194
2020-07-08,192
2020-07-09,1104
2020-07-10,824
2020-07-11,36
2020-07-12,560
2020-07-13,764
2020-07-14,1154
2020-07-15,118
2020-07-16,130
2020-07-17,134
2020-07-19,22
2020-07-20,172
2020-07-21,2998
2020-07-22,72
2020-07-23,92
2020-07-24,386
2020-07-25,66
2020-07-26,84
2020-07-27,132
2020-07-28,80
2020-07-29,136
2020-07-30,62
2020-07-31,30
2020-08-01,56
2020-08-02,8
2020-08-03,78
2020-08-04,74
2020-08-06,216
2020-08-07,14
2020-08-08,1311
2020-08-09,4
2020-08-10,892
2020-08-11,50
2020-08-13,136
2020-08-14,86
2020-08-15,94
2020-08-16,44
2020-08-17,48
2020-08-18,192
2020-08-22,14
2020-08-24,136
2020-08-25,94
2020-08-26,10
2020-08-28,96
2020-08-29,189
2020-08-30,886
2020-08-31,900
2020-09-01,26
2020-09-02,36
2020-09-03,100
2020-09-04,122
2020-09-05,118
2020-09-06,88
2020-09-07,6
2020-09-08,140
2020-09-09,52
2020-09-10,8
2020-09-11,258
2020-09-12,6
2020-09-13,118
2020-09-14,6
2020-09-15,36
2020-09-16,56
2020-09-17,68
2020-09-18,110
2020-09-21,54
2020-09-23,110
2020-09-24,214
2020-09-25,336
2020-09-26,180
2020-09-29,212
2020-09-30,202
2020-10-01,24
2020-10-02,30
2020-10-03,6
2020-10-04,8
2020-10-06,218
2020-10-07,12
2020-10-08,28
2020-10-09,52
2020-10-10,915
2020-10-12,424
2020-10-13,180
2020-10-14,52
2020-10-15,44
2020-10-16,5
