date,number_of_retweets
2020-06-01,2
2020-06-02,4
2020-06-03,8
2020-06-04,6
2020-06-05,2
2020-06-06,34
2020-06-07,14
2020-06-08,18
2020-06-09,18
2020-06-10,28
2020-06-12,4
2020-06-13,14
2020-06-14,6
2020-06-15,12
2020-06-16,8
2020-06-17,16
2020-06-18,12
2020-06-19,6
2020-06-20,6
2020-06-21,24
2020-06-22,26
2020-06-23,14
2020-06-24,12
2020-06-25,18
2020-06-26,32
2020-06-27,2
2020-06-28,12
2020-06-29,18
2020-06-30,2
2020-07-01,24
2020-07-02,8
2020-07-03,10
2020-07-04,18
2020-07-05,10
2020-07-06,8
2020-07-07,8
2020-07-08,14
2020-07-09,26
2020-07-10,30
2020-07-11,2
2020-07-12,22
2020-07-13,22
2020-07-14,12
2020-07-15,12
2020-07-16,18
2020-07-17,10
2020-07-19,2
2020-07-20,4
2020-07-21,22
2020-07-22,10
2020-07-23,10
2020-07-24,18
2020-07-25,8
2020-07-26,6
2020-07-27,8
2020-07-28,8
2020-07-29,10
2020-07-30,4
2020-07-31,2
2020-08-01,8
2020-08-02,2
2020-08-03,8
2020-08-04,12
2020-08-06,14
2020-08-07,2
2020-08-08,2
2020-08-09,2
2020-08-10,8
2020-08-11,4
2020-08-13,4
2020-08-14,4
2020-08-15,12
2020-08-16,4
2020-08-17,2
2020-08-18,14
2020-08-22,2
2020-08-24,4
2020-08-25,4
2020-08-26,2
2020-08-28,4
2020-08-29,10
2020-08-30,2
2020-08-31,14
2020-09-01,4
2020-09-02,4
2020-09-03,10
2020-09-04,8
2020-09-05,8
2020-09-06,6
2020-09-08,2
2020-09-09,10
2020-09-10,2
2020-09-11,16
2020-09-12,2
2020-09-13,6
2020-09-14,2
2020-09-15,2
2020-09-16,4
2020-09-17,2
2020-09-18,4
2020-09-21,2
2020-09-23,2
2020-09-24,8
2020-09-25,2
2020-09-26,4
2020-09-29,8
2020-09-30,8
2020-10-01,4
2020-10-02,4
2020-10-03,2
2020-10-06,6
2020-10-08,2
2020-10-09,4
2020-10-10,2
2020-10-12,8
2020-10-13,14
2020-10-14,8
2020-10-15,3
2020-10-16,1
