date,number_of_tweets
2020-06-01,8
2020-06-02,4
2020-06-03,8
2020-06-04,8
2020-06-05,6
2020-06-06,2
2020-06-07,2
2020-06-08,10
2020-06-09,6
2020-06-10,8
2020-06-12,8
2020-06-14,2
2020-06-15,2
2020-06-16,2
2020-06-17,2
2020-06-19,6
2020-06-20,4
2020-06-22,8
2020-06-23,6
2020-06-24,8
2020-06-25,2
2020-06-26,4
2020-06-29,4
2020-06-30,4
2020-07-01,2
2020-07-03,4
2020-07-07,2
2020-07-09,2
2020-07-10,2
2020-07-12,6
2020-07-13,8
2020-07-14,4
2020-07-15,2
2020-07-16,2
2020-07-17,2
2020-07-19,2
2020-07-20,4
2020-07-22,2
2020-07-23,4
2020-07-24,2
2020-08-11,2
2020-08-15,2
2020-08-31,2
2020-09-05,2
2020-09-07,2
2020-09-11,4
2020-09-17,2
2020-09-18,2
2020-09-21,2
2020-09-26,4
2020-09-30,6
2020-10-04,2
2020-10-06,8
2020-10-07,4
2020-10-08,2
2020-10-09,2
2020-10-12,2
2020-10-15,1
