date,likes_count
2020-06-01,80
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,182
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-24,0
2020-06-25,0
2020-06-26,26
2020-06-28,20
2020-06-29,0
2020-06-30,0
2020-07-01,24
2020-07-02,10
2020-07-03,0
2020-07-04,0
2020-07-05,148
2020-07-06,0
2020-07-07,444
2020-07-08,272
2020-07-09,0
2020-07-10,665
2020-07-12,0
2020-07-13,0
2020-07-15,32
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-20,0
2020-07-21,0
2020-07-22,52
2020-07-24,44
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,148
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,794
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,428
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,4
2020-08-16,0
2020-08-17,0
2020-08-18,113
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-23,1920
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-06,0
2020-09-09,0
2020-09-10,202
2020-09-11,140
2020-09-12,0
2020-09-14,0
2020-09-15,649
2020-09-16,1021
2020-09-17,244
2020-09-18,1989
2020-09-19,0
2020-09-20,1394
2020-09-21,572
2020-09-22,174
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,347
2020-09-27,0
2020-09-28,1148
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,80
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,232
2020-10-10,185
2020-10-11,403
2020-10-12,0
2020-10-13,92
2020-10-14,58
2020-10-15,211
2020-10-16,69
