date,retweets_count
2020-06-01,2733
2020-06-02,578
2020-06-03,2026
2020-06-04,481
2020-06-05,4687
2020-06-06,2127
2020-06-07,350
2020-06-08,1575
2020-06-09,1384
2020-06-10,456
2020-06-11,750
2020-06-12,228
2020-06-13,30
2020-06-14,276
2020-06-15,838
2020-06-16,226
2020-06-17,3234
2020-06-18,346
2020-06-19,1842
2020-06-20,500
2020-06-21,5563
2020-06-22,1174
2020-06-24,1500
2020-06-25,6582
2020-06-26,4352
2020-06-28,104
2020-06-29,2857
2020-06-30,6923
2020-07-01,808
2020-07-02,186
2020-07-03,2704
2020-07-04,1398
2020-07-05,242
2020-07-06,3403
2020-07-07,1733
2020-07-08,3179
2020-07-09,3441
2020-07-10,2388
2020-07-12,1028
2020-07-13,54
2020-07-15,2282
2020-07-16,516
2020-07-17,342
2020-07-18,2570
2020-07-20,78
2020-07-21,64
2020-07-22,450
2020-07-24,910
2020-07-25,2234
2020-07-26,54
2020-07-27,1387
2020-07-28,3566
2020-07-29,2736
2020-07-30,722
2020-07-31,400
2020-08-01,671
2020-08-02,1252
2020-08-03,845
2020-08-04,700
2020-08-05,340
2020-08-06,1456
2020-08-07,456
2020-08-08,3035
2020-08-09,2294
2020-08-10,3696
2020-08-11,1066
2020-08-12,1381
2020-08-13,286
2020-08-14,87
2020-08-15,122
2020-08-16,1252
2020-08-17,432
2020-08-18,2009
2020-08-19,674
2020-08-20,453
2020-08-21,36
2020-08-23,1296
2020-08-24,382
2020-08-25,1162
2020-08-26,347
2020-08-27,318
2020-08-29,4358
2020-08-30,740
2020-08-31,486
2020-09-01,2374
2020-09-02,14
2020-09-03,670
2020-09-04,612
2020-09-06,200
2020-09-09,634
2020-09-10,412
2020-09-11,174
2020-09-12,1456
2020-09-14,2100
2020-09-15,804
2020-09-16,1342
2020-09-17,2192
2020-09-18,2169
2020-09-19,146
2020-09-20,334
2020-09-21,1997
2020-09-22,1056
2020-09-23,156
2020-09-24,92
2020-09-25,358
2020-09-26,440
2020-09-27,42
2020-09-28,1126
2020-09-29,1132
2020-09-30,398
2020-10-01,758
2020-10-02,106
2020-10-03,36
2020-10-04,334
2020-10-05,4530
2020-10-06,922
2020-10-07,2951
2020-10-08,312
2020-10-09,970
2020-10-10,87
2020-10-11,172
2020-10-12,420
2020-10-13,628
2020-10-14,4
2020-10-15,1086
2020-10-16,274
