date,number_of_retweets
2020-06-01,36
2020-06-02,8
2020-06-03,26
2020-06-04,4
2020-06-05,36
2020-06-06,16
2020-06-07,6
2020-06-08,22
2020-06-09,20
2020-06-10,22
2020-06-11,4
2020-06-12,10
2020-06-14,8
2020-06-15,14
2020-06-16,10
2020-06-17,18
2020-06-18,12
2020-06-19,22
2020-06-20,10
2020-06-21,42
2020-06-22,4
2020-06-24,12
2020-06-25,18
2020-06-26,36
2020-06-28,6
2020-06-29,20
2020-06-30,36
2020-07-01,14
2020-07-02,2
2020-07-03,20
2020-07-04,24
2020-07-05,4
2020-07-06,30
2020-07-07,20
2020-07-08,36
2020-07-09,42
2020-07-10,32
2020-07-12,12
2020-07-13,4
2020-07-15,46
2020-07-16,10
2020-07-17,4
2020-07-18,24
2020-07-20,4
2020-07-21,6
2020-07-22,12
2020-07-24,20
2020-07-25,18
2020-07-26,2
2020-07-27,28
2020-07-28,16
2020-07-29,18
2020-07-30,40
2020-07-31,10
2020-08-01,12
2020-08-02,10
2020-08-03,16
2020-08-04,10
2020-08-05,6
2020-08-06,24
2020-08-07,8
2020-08-08,18
2020-08-09,2
2020-08-10,22
2020-08-11,12
2020-08-12,8
2020-08-13,12
2020-08-14,4
2020-08-15,8
2020-08-16,12
2020-08-17,8
2020-08-18,24
2020-08-19,20
2020-08-20,6
2020-08-21,2
2020-08-23,8
2020-08-24,22
2020-08-25,12
2020-08-26,8
2020-08-27,4
2020-08-29,16
2020-08-30,18
2020-08-31,22
2020-09-01,28
2020-09-02,2
2020-09-03,6
2020-09-04,10
2020-09-06,4
2020-09-09,20
2020-09-10,26
2020-09-11,8
2020-09-12,12
2020-09-14,4
2020-09-15,28
2020-09-16,16
2020-09-17,30
2020-09-18,22
2020-09-19,12
2020-09-20,4
2020-09-21,28
2020-09-22,4
2020-09-23,4
2020-09-24,6
2020-09-25,4
2020-09-26,8
2020-09-27,4
2020-09-28,14
2020-09-29,26
2020-09-30,18
2020-10-01,14
2020-10-02,4
2020-10-03,2
2020-10-04,2
2020-10-05,12
2020-10-06,10
2020-10-07,14
2020-10-08,10
2020-10-09,8
2020-10-12,8
2020-10-13,8
2020-10-15,62
2020-10-16,12
