date,number_of_tweets
2020-06-01,2
2020-06-13,2
2020-06-26,2
2020-06-28,2
2020-07-01,8
2020-07-02,2
2020-07-05,2
2020-07-07,8
2020-07-08,10
2020-07-10,8
2020-07-15,2
2020-07-22,2
2020-07-24,2
2020-08-01,4
2020-08-06,2
2020-08-10,16
2020-08-15,2
2020-08-18,2
2020-08-23,4
2020-09-10,6
2020-09-11,2
2020-09-15,2
2020-09-16,6
2020-09-17,6
2020-09-18,4
2020-09-20,4
2020-09-21,8
2020-09-22,2
2020-09-26,2
2020-09-28,8
2020-10-03,2
2020-10-09,4
2020-10-10,4
2020-10-11,2
2020-10-13,4
2020-10-14,4
2020-10-15,12
2020-10-16,4
