date,likes_count
2020-04-16,408
2020-04-17,370
2020-04-18,53
2020-04-19,145
2020-04-20,341
2020-04-21,324
2020-04-22,364
2020-04-23,448
2020-04-24,310
2020-04-25,597
2020-04-26,97
2020-04-27,380
2020-04-28,100
2020-04-29,620
2020-04-30,343
2020-05-01,363
2020-05-02,424
2020-05-03,410
2020-05-04,139
2020-05-05,333
2020-05-06,2055
2020-05-07,137
2020-05-08,37
2020-05-09,126
2020-05-10,90
2020-05-11,875
2020-05-12,712
2020-05-13,1275
2020-05-14,930
2020-05-15,2487
2020-05-16,502
2020-05-17,70
2020-05-18,2333
2020-05-19,1337
2020-05-20,600
2020-05-21,588
2020-05-22,1685
2020-05-23,134
2020-05-24,74
2020-05-25,1155
2020-05-26,1558
2020-05-27,3720
2020-05-28,3062
2020-05-29,1696
2020-05-30,2767
2020-05-31,70
2020-06-01,2618
2020-06-02,6341
2020-06-03,7950
2020-06-04,16427
2020-06-05,2000
2020-06-06,3940
2020-06-07,316
2020-06-08,2447
2020-06-09,2641
2020-06-10,231
2020-06-11,422
2020-06-12,1962
2020-06-13,2586
2020-06-14,1164
2020-06-15,498
2020-06-16,303
2020-06-17,825
2020-06-18,120
2020-06-19,384
2020-06-20,165
2020-06-21,393
2020-06-22,1857
2020-06-23,1806
2020-06-24,258
2020-06-25,1524
2020-06-26,198
2020-06-28,171
2020-06-29,132
2020-06-30,357
2020-07-01,918
2020-07-02,1194
2020-07-03,888
2020-07-04,177
2020-07-05,237
2020-07-06,435
2020-07-07,351
2020-07-08,438
2020-07-09,4557
2020-07-10,126
2020-07-13,330
2020-07-14,3789
2020-07-15,270
2020-07-16,417
2020-07-17,2478
2020-07-18,252
2020-07-19,6786
2020-07-20,1446
2020-07-21,6975
2020-07-22,4984
2020-07-23,1143
2020-07-24,2656
2020-07-25,342
2020-07-26,285
2020-07-27,1290
2020-07-28,1506
2020-07-29,750
2020-07-30,2013
2020-07-31,2045
2020-08-01,3849
2020-08-02,117
2020-08-03,993
2020-08-04,738
2020-08-05,1620
2020-08-06,2988
2020-08-07,435
2020-08-08,5010
2020-08-09,252
2020-08-10,927
2020-08-11,1221
2020-08-12,1697
2020-08-13,1023
2020-08-14,2975
2020-08-15,1659
2020-08-16,102
2020-08-17,224
2020-08-18,3346
2020-08-19,2349
2020-08-20,1857
2020-08-21,615
2020-08-22,303
2020-08-23,420
2020-08-24,3982
2020-08-25,3003
2020-08-26,2097
2020-08-27,927
2020-08-28,2322
2020-08-29,180
2020-08-30,432
2020-08-31,2190
2020-09-01,4147
2020-09-02,852
2020-09-03,2604
2020-09-04,1074
2020-09-05,4702
2020-09-06,192
2020-09-07,3280
2020-09-08,9342
2020-09-09,2570
2020-09-10,1256
2020-09-11,1644
2020-09-12,280
2020-09-13,1256
2020-09-14,1316
2020-09-15,1496
2020-09-16,2796
2020-09-17,6724
2020-09-18,4604
2020-09-19,2284
2020-09-20,434
2020-09-21,2012
2020-09-22,3154
2020-09-23,4592
2020-09-24,2338
2020-09-25,968
2020-09-26,6632
2020-09-27,208
2020-09-28,3308
2020-09-29,1624
2020-09-30,5454
2020-10-01,2857
2020-10-02,5167
2020-10-04,165
2020-10-05,1720
2020-10-06,7248
2020-10-07,2085
2020-10-08,3485
2020-10-09,3604
2020-10-10,3385
2020-10-11,2432
2020-10-12,3595
2020-10-13,3141
2020-10-14,4589
2020-10-15,3330
2020-10-16,563
