date,retweets_count
2020-04-16,1735
2020-04-17,231
2020-04-18,211
2020-04-19,212
2020-04-20,524
2020-04-21,835
2020-04-22,589
2020-04-23,314
2020-04-24,561
2020-04-25,544
2020-04-26,164
2020-04-27,398
2020-04-28,275
2020-04-29,1015
2020-04-30,341
2020-05-01,117
2020-05-02,391
2020-05-03,525
2020-05-04,226
2020-05-05,101
2020-05-06,636
2020-05-07,53
2020-05-08,549
2020-05-09,275
2020-05-10,154
2020-05-11,741
2020-05-12,436
2020-05-13,1652
2020-05-14,486
2020-05-15,1128
2020-05-16,492
2020-05-17,68
2020-05-18,1334
2020-05-19,1200
2020-05-20,443
2020-05-21,555
2020-05-22,1322
2020-05-23,787
2020-05-24,18
2020-05-25,771
2020-05-26,1408
2020-05-27,2516
2020-05-28,1288
2020-05-29,693
2020-05-30,2003
2020-05-31,19
2020-06-01,1650
2020-06-02,2517
2020-06-03,2097
2020-06-04,12678
2020-06-05,996
2020-06-06,1038
2020-06-07,75
2020-06-08,1638
2020-06-09,1488
2020-06-10,426
2020-06-11,1428
2020-06-12,834
2020-06-13,1203
2020-06-14,1245
2020-06-15,336
2020-06-16,720
2020-06-17,1713
2020-06-18,552
2020-06-19,633
2020-06-20,336
2020-06-21,402
2020-06-22,1146
2020-06-23,1383
2020-06-24,1479
2020-06-25,2460
2020-06-26,834
2020-06-28,45
2020-06-29,1698
2020-06-30,195
2020-07-01,2646
2020-07-02,687
2020-07-03,1746
2020-07-04,69
2020-07-05,336
2020-07-06,744
2020-07-07,258
2020-07-08,732
2020-07-09,2145
2020-07-10,45
2020-07-13,66
2020-07-14,5076
2020-07-15,2007
2020-07-16,1268
2020-07-17,1575
2020-07-18,471
2020-07-19,2373
2020-07-20,2465
2020-07-21,7493
2020-07-22,3453
2020-07-23,1560
2020-07-24,1296
2020-07-25,3326
2020-07-26,708
2020-07-27,516
2020-07-28,1035
2020-07-29,5382
2020-07-30,1176
2020-07-31,1287
2020-08-01,3117
2020-08-02,195
2020-08-03,1767
2020-08-04,597
2020-08-05,1704
2020-08-06,3456
2020-08-07,495
2020-08-08,1413
2020-08-09,258
2020-08-10,2490
2020-08-11,1086
2020-08-12,3357
2020-08-13,615
2020-08-14,2511
2020-08-15,1911
2020-08-16,534
2020-08-17,1977
2020-08-18,1512
2020-08-19,2517
2020-08-20,1452
2020-08-21,2757
2020-08-22,507
2020-08-23,123
2020-08-24,2178
2020-08-25,2937
2020-08-26,1614
2020-08-27,1239
2020-08-28,1665
2020-08-29,765
2020-08-30,393
2020-08-31,2811
2020-09-01,3801
2020-09-02,1380
2020-09-03,4647
2020-09-04,2259
2020-09-05,3568
2020-09-06,78
2020-09-07,2073
2020-09-08,2913
2020-09-09,2484
2020-09-10,2116
2020-09-11,2068
2020-09-12,88
2020-09-13,2848
2020-09-14,1032
2020-09-15,1012
2020-09-16,1024
2020-09-17,7608
2020-09-18,3680
2020-09-19,2010
2020-09-20,180
2020-09-21,1732
2020-09-22,1432
2020-09-23,2376
2020-09-24,2084
2020-09-25,1884
2020-09-26,2924
2020-09-27,512
2020-09-28,1840
2020-09-29,1472
2020-09-30,4164
2020-10-01,4088
2020-10-02,2920
2020-10-04,75
2020-10-05,1810
2020-10-06,2875
2020-10-07,2880
2020-10-08,7334
2020-10-09,2195
2020-10-10,4642
2020-10-11,1280
2020-10-12,1960
2020-10-13,4301
2020-10-14,3432
2020-10-15,6241
2020-10-16,369
