date,number_of_retweets
2020-04-16,14
2020-04-17,5
2020-04-18,5
2020-04-19,3
2020-04-20,10
2020-04-21,12
2020-04-22,15
2020-04-23,3
2020-04-24,9
2020-04-25,11
2020-04-26,4
2020-04-27,6
2020-04-28,5
2020-04-29,11
2020-04-30,5
2020-05-02,2
2020-05-03,4
2020-05-04,5
2020-05-05,1
2020-05-06,6
2020-05-08,7
2020-05-09,5
2020-05-10,1
2020-05-11,12
2020-05-12,6
2020-05-13,23
2020-05-14,9
2020-05-15,14
2020-05-16,5
2020-05-17,3
2020-05-18,10
2020-05-19,18
2020-05-20,10
2020-05-21,15
2020-05-22,19
2020-05-23,8
2020-05-25,5
2020-05-26,7
2020-05-27,17
2020-05-28,11
2020-05-29,5
2020-05-30,14
2020-06-01,12
2020-06-02,18
2020-06-03,3
2020-06-04,108
2020-06-05,15
2020-06-08,15
2020-06-09,12
2020-06-10,18
2020-06-11,18
2020-06-12,6
2020-06-13,6
2020-06-14,9
2020-06-15,6
2020-06-16,18
2020-06-17,30
2020-06-18,24
2020-06-19,12
2020-06-20,15
2020-06-21,6
2020-06-22,15
2020-06-23,12
2020-06-24,15
2020-06-25,18
2020-06-26,6
2020-06-29,9
2020-06-30,3
2020-07-01,12
2020-07-02,3
2020-07-03,21
2020-07-05,6
2020-07-06,12
2020-07-07,6
2020-07-08,9
2020-07-09,15
2020-07-14,30
2020-07-15,24
2020-07-16,27
2020-07-17,18
2020-07-18,6
2020-07-19,12
2020-07-20,18
2020-07-21,57
2020-07-22,21
2020-07-23,18
2020-07-24,12
2020-07-25,21
2020-07-26,9
2020-07-27,9
2020-07-28,24
2020-07-29,15
2020-07-30,12
2020-07-31,21
2020-08-01,21
2020-08-02,6
2020-08-03,21
2020-08-04,15
2020-08-05,15
2020-08-06,33
2020-08-07,12
2020-08-09,6
2020-08-10,42
2020-08-11,15
2020-08-12,33
2020-08-13,21
2020-08-14,36
2020-08-15,18
2020-08-16,9
2020-08-17,33
2020-08-18,51
2020-08-19,42
2020-08-20,36
2020-08-21,78
2020-08-22,3
2020-08-24,51
2020-08-25,66
2020-08-26,21
2020-08-27,21
2020-08-28,69
2020-08-29,42
2020-08-30,6
2020-08-31,48
2020-09-01,72
2020-09-02,45
2020-09-03,42
2020-09-04,48
2020-09-05,12
2020-09-07,36
2020-09-08,24
2020-09-09,20
2020-09-10,60
2020-09-11,40
2020-09-13,88
2020-09-14,20
2020-09-15,28
2020-09-16,8
2020-09-17,124
2020-09-18,32
2020-09-19,8
2020-09-21,4
2020-09-22,12
2020-09-23,24
2020-09-24,20
2020-09-25,32
2020-09-26,12
2020-09-27,4
2020-09-28,40
2020-09-29,28
2020-09-30,44
2020-10-01,50
2020-10-02,25
2020-10-05,25
2020-10-06,15
2020-10-07,40
2020-10-08,85
2020-10-09,30
2020-10-10,65
2020-10-11,10
2020-10-12,35
2020-10-13,45
2020-10-14,40
2020-10-15,40
2020-10-16,6
